id|nct_id|outcome_type|measure|time_frame|population|description
189837813|NCT03602612|other|Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0).|Date treatment consent signed to date off study, approximately 16 months/17 days, 4 months/4 days, 4 months/18 days, 42 months/8 days, 20 months/19 days, 29 months/28 days, and 30 months/26 days for each Arm/Group respectively.||Here is the number of participants with serious and/or non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.
190917998|NCT04182581|primary|Incidence and severity of treatment related AE|2 years||Adverse events(AEs) will be collected and graded according to ASTCT consensus(for Cytokine Release Syndrome, CRS and Immune Effector Cell-Associated Neurotoxicity Syndrome, ICANS) and CTCAE v5.0(for AE except CRS/ICANS ).
190917999|NCT04182581|primary|Incidence of DLT|12 weeks||Dose-limiting toxicity (DLT) will be collected. DLT refers to toxicity that limit the process to continue increasing CAR-T dose.
190918000|NCT04182581|primary|CAR copies concentration in peripheral blood|2 years||CAR copies in peripheral blood will be measured by qPCR and FCM.
190918001|NCT04182581|secondary|ORR|2 years||Objective response rate (ORR) will be calculated. ORR refers to the proportion between the number of subjects who are evaluated as PR or status better than PR and total number of subjects.
190918002|NCT04182581|secondary|DOR|2 years||Duration of response (DOR) will be calculated. DOR refers to the time between the initial response (CR or PR) to therapy and evaluated as PD for the first time or death due to any reason.
190918003|NCT04182581|secondary|PFS Rate|2 years||Progression free survival (PFS) rate will be calculated. PFS refers to the proportion between the number of subjects who are evaluated as PD or died and total number of subjects.
190918004|NCT04182581|secondary|OS Rate|2 years||Overall survival (OS) rate will be calculated. OS refers to the proportion between the number of subjects who died and total number of subjects.
192033985|NCT03232619|primary|Radiological assessment|Month1 to Month12||Radiological assessment of the therapeutic effect by systemic or local computed Tomography(CT) or positron emission tomography scan.
192033986|NCT03232619|secondary|The safety of CART immunotherapy|Day 1 to Week 4||After CAR-T cell infusion,we will observe the potential adverse events, especially Cytokine Release Syndrome (CRS) and neurotoxicity
192034389|NCT04792593|primary|Safety: Incidence and severity of adverse events|First 1 month post CAR-T cells infusion||To evaluate the possible adverse events occurred within first one month after CD7 CAR-T infusion, including the incidence and severity of symptoms such as cytokine release syndrome and neurotoxicity
192034390|NCT04792593|primary|Efficacy: Remission Rate|3 months post CAR-T cells infusion||Remission Rate including complete remission(CR)、CR with incomplete blood count recovery(CRi)、No remission(NR)
192034391|NCT04792593|secondary|duration of response (DOR)|24 months post CAR-T cells infusion||duration of response (DOR)
192034392|NCT04792593|secondary|progression-free survival (PFS)|24 months post CAR-T cells infusion||progression-free survival (PFS) time
192034393|NCT04792593|secondary|CAR-T proliferation|3 months post CAR-T cells infusion||the copy number of Senl h19 CAR- T cells in the genomes of PBMC by qPCR method
192034394|NCT04792593|secondary|Cytokine release|First 1 month post CAR-T cells infusion||Cytokine( IL-6,IL-10,IFN-γ,TNF-α ) concentration (pg/mL) by flow cytometry method
192034847|NCT05473221|primary|Evaluation of Safety|Up to 2 years after CD33CAR-T infusion||Count the Incidence of adverse events
192034848|NCT05473221|primary|Changes in cytokine level after CD33 CAR-T infusion|Up to 2 years after CD33CAR-T infusion||Calculate the change of cytokine level in peripheral blood by flow cytometry after CAR-T infusion. Cytokines include IL-2、IL-6、IL-10、IFN-γ.
192034849|NCT05473221|secondary|Complete response rate(CRR)|Up to 2 years after CD33CAR-T infusion||Proportion of subjects who achieved morphological complete response (CR) and complete response with hematologic incomplete recovery (CRi)
192034850|NCT05473221|secondary|Partial response Rate (PRR)|Up to 2 years after CD33CAR-T infusion||Proportion of subjects who achieved a partial response (PR)
192034851|NCT05473221|secondary|Overall response Rate(ORR)|Up to 2 years after CD33CAR-T infusion||Proportion of subjects who achieved CR, CRi, or PR
192034852|NCT05473221|other|Overall survival|Up to 2 years after CD33CAR-T infusion||Death from any cause from the beginning of cell transfusion
192034853|NCT05473221|other|Recurrence free survival (RFS)|Up to 2 years after CD33CAR-T infusion||From remission to relapse or death of the subject (including all causes), whether the subject relapsed or died is unknown until the date of the last follow-up examination.
192034854|NCT05473221|other|Event-free survival (EFS)|Up to 2 years after CD33CAR-T infusion||Counting from the beginning of cell transfusion until treatment failure, recurrence, or death (various causes). Subjects without any of these events were counted up to the last follow-up examination date. For patients without CR or CRi, EFS is calculated from the beginning of cell transfusion until disease progression or death. Based on the initial event.
192034855|NCT05473221|other|MRD negative rate|Up to 2 years after CD33CAR-T infusion||The rate of MRD negative subjects was determined by flow cytometry.
192034856|NCT05473221|other|Median BM Reduction|Up to 2 years after CD33CAR-T infusion||Changes of bone marrow primitive cells after cell transfusion from baseline.
192034857|NCT05473221|other|Percentage of subjects disengaged from transfusion|Up to 2 years after CD33CAR-T infusion||Percentage of baseline transfusion-dependent subjects who were discharged from transfusion after cell transfusion.
191473738|NCT03198052|primary|Number of Patients with Dose Limiting Toxicity|three months||A dose limiting toxicity is defined as any toxicity that is considered to be primarily related to the GPC3/Mesothelin/Claudin18.2/GUCY2C/B7-H3/PSCA/PSMA/MUC1/TGFβ/HER2/Lewis-Y/AXL/EGFR-CAR T cells,which is irreversible, or life threatening or hematologic or non-hematologic Grade 3-5.
191473739|NCT03198052|secondary|Percent of Patients with best response as either complete remission or partial remission.|three months||Response rates will be estimated as the percent of patients whose best response is either complete remission or partial remission by combining the data from the patients. To compare with historical data, a 95% confidence interval will be calculated for the response rate.
191473740|NCT03198052|secondary|Median CAR-T cell persistence|Six years||Median CAR-T cell persistence will be measured by quantitative rt-PCR.
191474842|NCT03298828|primary|Molecular remission|1 month||Efficacy will be assessed by determining Minimal Residual Disease in the bone marrow aspirate using immunoglobulin heavy chain (IgH) quantitative polymerase chain reaction (qPCR) and/or Next Generation Sequencing in all patients. The proportion of patients achieving molecular remission at 1 month post CD19 CAR and PD-1 Knockout Engineered T-cell infusion will be determined.
191474843|NCT03298828|secondary|Long term molecular remission|2 years||Number of patients in molecular remission without further therapy at 2 years
191474844|NCT03298828|secondary|Frequency of circulating CD19 CAR and PD-1 Knockout Engineered T-cells|2 years||Persistence and frequency of circulating CD19 CAR and PD-1 Knockout Engineered T-cells in the peripheral blood by flow cytometry and qPCR analyses.
191474845|NCT03298828|secondary|Incidence of hypogammaglobulinaemia|2 years||Incidence and duration of hypogammaglobulinaemia.
191474846|NCT03298828|secondary|Relapse rate|10 years||Relapse rate monitored during interventional phase and long term follow up for a total of 10 years post cell infusion. Number of patients who relapsed can be summarized as a percentage (for all patients registered to the trial, and also only for those who received the cell infusion).
191474847|NCT03298828|secondary|Overall Survival|10 years||Overall survival is monitored during interventional phase and long term follow up for 10 years post-CD19 CAR and PD-1 Knockout Engineered T-cell infusion. Number of patients alive can be summarized as a percentage (for all patients registered to the trial, and also only for those who received the cell infusion).
192036005|NCT04745559|primary|Humoral Response Rate -PCV13 vaccine|90 days post CAR T therapy||Humoral sero-protection rate elicited by the PCV13 vaccine intervention as measured on day+90 post CART
192036006|NCT04745559|secondary|Increase in PCV13 specific serotype IgG levels|90 days post CAR T therapy||PCV13 specific serotype IgG levels on day +90 post CAR T cell therapy as an absolute and as a change from baseline
192036007|NCT04745559|secondary|Increase in On-Specific Serotype IgG levels|90 days post CAR T therapy||Non-specific serotype IgG levels on day +90 post CAR T cell therapy as an absolute and as a change from baseline
192036008|NCT04745559|secondary|Response Rate of CD19-targeted CAR T therapy when combined with PCV13 vaccination|90 days post CAR T therapy||Percentage of patients whose cancer shrinks or disappears after treatment
192036009|NCT04745559|secondary|Progression Free Survival|at 90 days and 180 days post CAR T therapy||Progression Free Survival (PFS) from start of treatment to death of any cause, disease progression or relapse of the date of last follow-up, whichever comes first.
192036010|NCT04745559|secondary|Overall Survival|180 days post CAR T therapy||Overall Survival (OS):The length of time from the start of treatment until death by any cause
189827346|NCT02663297|primary|Number of participants with adverse events as a measure of safety and tolerability of escalating doses of autologous activated T lymphocytes|6 weeks||Toxicity will be classified and graded according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, version 4.0) and cytokine release syndrome (CRS) toxicity will be graded according to the toxicity scale outlined in 11.6 (Appendix F: CRS Toxicity Grading Scale and Management Guidelines). The MTD will be based on the rate of dose-limiting toxicity
189827347|NCT02663297|secondary|To measure the survival of ATLCAR.CD30 in vivo|15 years||Persistence of CAR.CD30 T cells in vivo will be determined by quantitative polymerase chain reaction (PCR) and flow cytometry in peripheral blood samples
189827348|NCT02663297|secondary|To estimate PFS after infusion of ATLCAR.CD30 post ASCT in patients with CD30+ lymphoma at high risk for relapse|15 years||PFS is defined from day of ASCT to relapse (in subjects with a documented complete response after ASCT) or progression (in subjects with documented stable disease or partial response after ASCT), or death as a result of any cause as per the Revised Response Criteria for Malignant Lymphoma
189827349|NCT02663297|secondary|Determine the overall survival after infusion of ATLCAR.CD30|15 years||Overall survival will be measured from the date of administration of CAR.CD30 transduced ATL to date of death
189827447|NCT02159495|primary|Dose-limiting toxicity (DLT) defined as any grade 3 or higher toxicity as assessed by the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.0|28 days||Rates and associated 95% Clopper and Pearson binomial confidence limits will be estimated. Tables will summarize all toxicities and side effects by attribution of treatment, dose, time-post treatment, organ and severity. Analysis will be done separately for each disease arm.
189827448|NCT02159495|primary|Incidence of adverse events as assessed by NCI CTCAE version 4.0|Up to 15 years||Rates and associated 95% Clopper and Pearson binomial confidence limits will be estimated. Tables will summarize all toxicities and side effects by attribution of treatment, dose, time-post treatment, organ and severity. Analysis will be done separately for each disease arm.
189827449|NCT02159495|primary|Disease response (CR or CRi)|Up to 15 year post-treatment||Rates and associated 95% Clopper and Pearson binomial confidence limits will be estimated. Analysis will be done separately for each disease arm.
189827450|NCT02159495|secondary|Engraftment of transferred CD123+ CAR T cells|Day 28||Rates and associated 95% Clopper and Pearson binomial confidence limits will be estimated. Analysis will be done separately for each disease arm.
189827451|NCT02159495|secondary|CAR123-specific antibody level|Up to 15 years||Rates and associated 95% Clopper and Pearson binomial confidence limits will be estimated. Analysis will be done separately for each disease arm.
189827452|NCT02159495|secondary|Duration of response|Up to 15 years||Will provide descriptive statistics. Analysis will be done separately for each disease arm.
189827453|NCT02159495|secondary|Progression Free Survival (PFS)|Up to 15 years||Rates and associated 95% Clopper and Pearson binomial confidence limits will be estimated for PFS 6mo. Analysis will be done separately for each disease arm.
189827454|NCT02159495|secondary|Survival|Up to 15 years||Rates and associated 95% Clopper and Pearson binomial confidence limits will be estimated for 1 year OS. Analysis will be done separately for each disease arm.
189827455|NCT02159495|other|Number of CD123+ normal cells in peripheral blood and bone marrow|Up to day 14||Percents and counts will be calculated. Analysis will be done separately for each disease arm.
189827456|NCT02159495|other|Number of peripheral blood cell subsets in hematopoietic stem cell compartment|Up to day 14||Percentages and counts will be calculated. Analysis will be done separately for each disease arm.
189827457|NCT02159495|other|Proof of elimination of CD123+ CAR T cells|Up to day 14||Rates and associate 95% Clopper and Pearson binomial confidence limits will be estimated. Descriptive statistics and graphical methods will be used to describe T cell numbers and percentages over time. Analysis will be done separately for each disease arm.
189827458|NCT02159495|other|Number of CD123+ leukemic cells in peripheral blood and bone marrow|Up to day 14||Percents and counts will be calculated. Analysis will be done separately for each disease arm.
189827459|NCT02159495|other|Number of peripheral blood cell subsets in progenitor cell compartment|Up to day 14||Percentages and counts will be calculated. Analysis will be done separately for each disease arm.
190350197|NCT02315612|primary|Toxicity|End of treatment||Number of patients who have grade 3 CRS and above
190350198|NCT02315612|primary|Response|1 month, 3 months, and 6 months following CAR infusion||Number of patients who have complete and partial remission
190350199|NCT02315612|secondary|Safety and Toxicity|1 month, 3 months and 6 months following CAR infusion||Number of patients who have detectable CAR cells
190350200|NCT02315612|secondary|Objective Response (Complete + Partial Remission)|1 month, 3 months and 6 months following CAR infusion||The number of patients who have complete and partial remissions
190350201|NCT02315612|secondary|CAR-T cell Persistence|1 month, 3 months and 6 months following CAR infusion||The number of patients who have detectable CAR cells
192036270|NCT05554575|primary|Objective response rate (ORR)|The changes between baseline and Day 28, Month 3, Month 6, as well as Month 24 for termination.||"The percentage of participants who achieved complete remission (CR) over all participants.~The tumor status of patient is assessed for the baseline when assigned into treatment group. The overall CR is assessed by the Lugano Classification Lymphoma Response Criteria 2014 on Day 28, Month 3, Month 6, as well as Month 24 for termination. The overall CR is also assessed for the case withdraw from treatment before the termination of 24 months.~The percentage of participants who achieved partial remission (PR) over all participants.~The assessment criteria and time frame are the same as CR."
192036271|NCT05554575|secondary|The retention amount of CAR-T cells remaining in vivo|The retention amount of CAR-T cells in all subjects is assessed on Day 1, 7, 14, 28 during first month after cell infusion, and every month during Month 2 and 6, and every three months during Month 6 and 24 when terminated.||"The retention amount of CAR-T cells in all subjects within 24 months when terminated.~The retention amount of CAR-T cells in all subjects is assessed on Day 1, 7, 14, 28 during first month after cell infusion. The retention amount is also assessed every month during Month 2 and 6, and every three months during Month 6 and 24 when terminated."
192036272|NCT05554575|secondary|The retention time of CAR-T cells remaining in vivo|The retention time of CAR-T cells in all subjects is assessed on Day 1, 7, 14, 28 during first month after cell infusion, and every month during Month 2 and 6, and every three months during Month 6 and 24 when terminated.||"The retention time of CAR-T cells in all subjects within 24 months when terminated.~The retention time of CAR-T cells in all subjects is assessed on Day 1, 7, 14, 28 during first month after cell infusion. The retention time is also assessed every month during Month 2 and 6, and every three months during Month 6 and 24 when terminated."
192036274|NCT01318317|primary|Number of Participants With Dose Limiting Toxicities (DLTs)|Within 28 days of T-cell infusion||"Number of DLTs per dose level are reported.~A DLT is defined as:~Any grade 3 or higher toxicity, with the exception of expected adverse events; and designated as definitely or probably related (level of attribution) to the infusion of the TCM cells; and occurring within 28 days of T-cell infusion; Any toxicity requiring the use of steroids to ablate side effects attributable to the infusion of the TCM cells, and occurring within 28 days of T-cell infusion; Any toxicity which is a lower grade, but that increases in grade to a grade 3 or higher as a direct result of the TCM, and occurring within 28 days of T-cell infusion; Any grade 2 or greater autoimmune toxicity, and occurring within 28 days of T-cell infusion."
192036275|NCT01318317|primary|Woodchuck Hepatitis Virus Post-transcriptional Regulatory Element (WPRE) Detection Above Background|28 days post T cell infusion||Peak expansion of WPRE is expressed in CAR copy number/mL of blood is summarized with median and range
192036276|NCT01318317|primary|Number of Days of Quantifiable CD19 CAR Post T-cell Infusion|28 days post T cell infusion||WPRE persistence of quantifiable CD19 CAR summarized with mean and standard deviation
192036277|NCT01318317|secondary|Failure to Engraft|Within 21 days post T-cell infusion||Count of participants who fail to engraft post transplant.
192036278|NCT01318317|secondary|Progression-free Survival at 1 Year|Up to 1 year||"Estimated using the Kaplan-Meier methods.~Progression is defined using the revised IWG response criteria, as any new lesion or increase by ≥50% of previously involved sites from nadir."
192036324|NCT04325841|primary|CR rate|1 month||The complete remission(CR) rate to the CAR-T treatment
192037220|NCT05538195|primary|To evaluate the safety of CAR-T cell preparations in the treatment of CEA-positive advanced malignancies [Safety and Tolerability]|1 month||The incidence of adverse events after CEA CAR-T cell infusion was assessed by the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, version 5.0)
192037221|NCT05538195|primary|Obtained the recommended dose and infusion regimen of CAR-T cells for the treatment of patients with CEA-positive advanced malignancies[Safety and Tolerability]|28 days||Dose-limiting toxicity after CEA CAR-T cell infusion
192037222|NCT05538195|secondary|Assessing disease control rates of CAR-T cell preparations in CEA-positive advanced malignancies[Effectiveness]|3 month||Disease control rate: The proportion of subjects who achieved CR, PR, SD after CAR-T infusion accounted for all treated subjects (Assessed based on RECIST criteria)，the minimum value is 0%，maximum value is 100%, and higher scores mean a better outcome.
192037223|NCT05538195|secondary|AUCS of CEA CAR-T cells [Cell dynamics]|3 months||AUCS is defined as the area under the curve in 90 days
192037224|NCT05538195|secondary|CMAX of CEA CAR-T cells [Cell dynamics]|3 months||CMAX is defined as the highest concentration of CEA CAR-T cells expanded in peripheral blood
192037225|NCT05538195|secondary|TMAX of CEA CAR-T cells[Cell dynamics]|3 months||TMAX is defined as the time to reach the highest concentration
192037226|NCT05538195|secondary|Pharmacodynamics of CEA CAR-T cells[Cell dynamics]|3 months||The content of CEA in peripheral blood was detected by ELISA at the visit points specified in the research protocol
192037227|NCT05538195|other|Objective response rate (ORR) of CEA CAR-T treatment in patients with CEA-positive advanced malignancies[Effectiveness]|1 years||Objective response rate includes：The proportion of subjects who achieved CR, PR after CAR-T infusion accounted for all treated subjects (Assessed based on RECIST criteria)，the minimum value is 0%，maximum value is 100%, and higher scores mean a better outcome.
192037228|NCT05538195|other|Duration of Response (DOR) of CEA CAR-T treatment in patients with CEA-positive advanced malignancies[Effectiveness]|1 years||DOR will be assessed from the first assessment of CR/PR/SD to the first assessment of recurrence or progression of the disease or death from any cause
192037229|NCT05538195|other|Progress-free survival(PFS) of CEA CAR-T treatment in patients with CEA-positive advanced malignancies[Effectiveness]|1 years||PFS will be assessed from the first CEA-CAR-T cell infusion to death from any cause or the first assessment of progression(Assessed based on RECIST criteria)
192037230|NCT05538195|other|Overall survival(OS)of CEA CAR-T treatment in patients with CEA-positive advanced malignancies[Effectiveness]|1 years||OS will be assessed from the first CEA-CAR-T cell infusion to death from any cause (Assessed by investigators based on IRECIST criteria)
189842363|NCT02050347|primary|Number of patients with dose limiting toxicity|6 weeks||"Toxicity is evaluated using CTCAE, version 4.0. Dose limiting toxicity (DLT) will be defined as any of the following that is NOT (1) pre-existing, or (2) due to infection (to which patients with CLL and NHL are predisposed), or (3) due to underlying malignancy, and that may, after consultation with the FDA when indicated, be considered possibly, probably, or definitely related to the study cellular products:~Development of Grade III-IV GVHD or Grade II GVHD unresponsive to front line treatment;~Non-hematologic DLT is any grade 3 or grade 4 non-hematologic toxicity, including allergic reactions to T cell infusions.~Hematologic DLT is defined as any grade 4 hematologic toxicity, including secondary graft failure (as defined per protocol).~Patients with evidence of bone marrow disease (metastases or diffuse infiltration) are not evaluable for hematologic dose limiting toxicity."
189842364|NCT02050347|secondary|Number of patients with tumor response|8 weeks||We will summarize tumor response by overall response rates. Tumor burden will be measured before and after T cell therapy.
189842365|NCT02050347|secondary|Frequency of T cell products|Up to 15 years||The frequency of T cells transduced with the vector (T cells expressing CD19.CAR-CD28z) will be summarized at pre and post-infusion time points. Plots of growth curves will be generated to graphically illustrate patterns of T-cell expansion.
189843252|NCT03287817|primary|Phase I Escalation - Safety (incidence of Grade 3-5 toxicities) and identification of recommended Phase II dose and schedule.|Within 75 days of AUTO3 infusion||
189843253|NCT03287817|primary|Phase I Expansion - Safety (incidence of Grade 3-5 toxicities) in the outpatient / ambulatory care setting|Within 75 days of AUTO3 infusion||
189843254|NCT03287817|primary|Phase II - Overall response rate as per Lugano criteria|Up to 2 years||
189843255|NCT03287817|secondary|Feasibility of generating AUTO3: number of patients' cells successfully manufactured as a proportion of the number of patients undergoing leukapheresis.|Up to 8 weeks post leukapheresis.||
189843256|NCT03287817|secondary|Complete response rate, as per Lugano criteria.|Up to 2 years||
189843257|NCT03287817|secondary|Duration of response (DOR).|Up to 2 years||
189843258|NCT03287817|secondary|Progression-free survival (PFS).|Up to 2 years||
189843259|NCT03287817|secondary|Overall survival (OS).|Up to 2 years||
191482601|NCT03207178|primary|Overall complete remission rate|Half a year||The complete remission rate will be evaluated by routine methods.
191482602|NCT03207178|secondary|The initial effect time|1 year||The initial effect time will be recorded.
191482603|NCT03207178|secondary|The one-year survival rate|1 year||The one-year survival rate will be recorded.
191482604|NCT03207178|secondary|The safety and the tolerability(incidence of treatment-emergent adverse events defined as dose-limited toxicity)|1 month||Number of participants with treatment-related adverse events as assessed by CTCAE v4.0.
191482605|NCT03207178|secondary|The time to disease progression|1 year||The time to disease progression will be counted after complete remission.
191482606|NCT03207178|secondary|The one-year recurrence|1 year||The one-year recurrence will be counted after complete remission.
191482607|NCT03207178|secondary|The life quality improvement|1 year||The life quality improvement will be evaluated by appetite,sleep,pain and mental state.
189844021|NCT05445765|primary|The number and incidence of adverse events after anti-CD33 CAR infusion.|1 year, particularly the first 3 months after CAR infusion||Determine the toxicity profile of anti-CD33 CAR T cell therapy including the number, incidence, and severity of symptoms such as cytokine release syndromes and neurotoxicity
189844022|NCT05445765|secondary|The disease response to anti-CD33 CAR T cells|4 weeks||The disease response to anti-CD33 CAR T cells is evaluated by bone marrow biopsy and aspirate at 1, 2, 3, and 4 weeks. The proportion of subjects receiving anti-CD33 CAR T infusion to 1) morphological remission (blasts <5%): 2) flow cytometry analysis was blast negative, and 3) molecular biological remission (if applicable).
189844023|NCT05445765|secondary|Allogeneic hematopoietic stem cell transplantation (HCT)|42 days after HCT ingraftment||Allogeneic hematopoietic stem cell transplantation (HCT) is performed after anti-CD33 CAR T treatment. The time after HCT engraftment [time range: 42 days after HCT ingraftemnt] is calculated from the day of HCT until the absolute neutrophil count (ANC) is greater than 500 / ul for three consecutive days.
189844024|NCT05445765|secondary|HCT 100% chymerism time|2 weeks after HCT||HCT 100% chymerism time
189844025|NCT05445765|secondary|Overall survival|1 year after HCT||The time from the start of anti-CD33 CAR T injection to death is determined as the overall survival
189844026|NCT05445765|secondary|Progress-free survival|one year after HCT||Progress-free survival is measured from the injection of anti-CD33 CAR T cells until the record of disease progression or death due to any reason, whichever comes first.
189844027|NCT05445765|secondary|Treatment-related mortality|one year after HCT||Treatment-related mortality calculated from one year after HCT.
189847969|NCT05141253|primary|Dose-limiting toxicity (DLT)|Maximum of 5 years post infusion||Type and incidence of dose-limiting toxicity (DLT) by dose group
189847970|NCT05141253|primary|Adverse events (AEs) and serious adverse events (SAEs)|Maximum of 5 years post infusion||Type and incidence of adverse events (AEs) and serious adverse events (SAEs) by dose group
189847971|NCT05141253|secondary|Number of Participants With Abnormal Laboratory Values|Maximum of 5 years post infusion||Number of Participants With Abnormal results (including laboratory tests, vital signs, physical examinations, ECG and other safety-related tests).
189847972|NCT05141253|secondary|Objective response rate (ORR)|Maximum of 5 years post infusion||The proportion of subjects who have achieved best response of partial response (PR) or complete response (CR) according to the RECIST V1.1evaluation criteria 3 months after RD133 cell infusion.
189847973|NCT05141253|secondary|Duration of response (DoR)|Maximum of 5 years post infusion||The time from the date of initial documentation of CR/PR after RD133 cell infusion to the date of progressive disease or death due to the disease studied
189847974|NCT05141253|secondary|Time to response (TTR)|Maximum of 5 years post infusion||The time from the date of RD133 cell infusion to the first efficacy evaluation of partial response (PR) or complete response (CR)
189847975|NCT05141253|secondary|Disease control rate (DCR)|Maximum of 5 years post infusion||The proportion of subjects with best efficacy assessment of complete response (CR), partial response (PR) or stable disease (SD)
189847976|NCT05141253|secondary|Progression-free survival (PFS)|Maximum of 5 years post infusion||The time from the date of RD133 cell infusion to the date of initial documentation of progressive disease/relapse or death from any cause.
189847977|NCT05141253|secondary|Overall survival (OS)|Maximum of 5 years post infusion||The time from the date of RD133 cell infusion to the date of death.
189847978|NCT05141253|secondary|Maximum Plasma Concentration [Cmax] of RD133 in vivo|Maximum of 5 years post infusion||Maximum Plasma Concentration [Cmax] of CAR T cell concentration in peripheral blood and tumor tissue (if any) after RD133 infusion.
189847979|NCT05141253|secondary|Minimum Plasma Concentration [Cmin] of RD133 in vivo|Maximum of 5 years post infusion||Minimum Plasma Concentration [Cmin] of CAR T cell concentration in peripheral blood and tumor tissue (if any) after RD133 infusion.
189847980|NCT05141253|other|TGF-β level in peripheral blood.|Maximum of 5 years post infusion||TGF-β levels in peripheral blood after RD133 infusion.
189847981|NCT05141253|other|The expression of CD3, CD4, CD8, CD68, CD163, MSLN, and PDL1|Maximum of 5 years post infusion||The expression of CD3, CD4, CD8, CD68, CD163, MSLN, and PDL1 in tumor tissue after RD133 cell infusion measured by Immunohistochemistry.
189847982|NCT05141253|other|The positive rate of human anti-RD133 antibodies after RD133 cell infusion|Maximum of 5 years post infusion||The proportion of patients with serum anti-RD133 antibodies after RD133 cell infusion
189847983|NCT05141253|other|MSLN level in peripheral blood and in tumor tissues|Maximum of 5 years post infusion||MSLN level in peripheral blood and in tumor tissues before and after RD133 cell infusion.
189847984|NCT05141253|other|The positive rate in replication competent lentivirus (RCL).|Maximum of 5 years post infusion||The proportion of patients with detectable replication competent lentivirus after RD133 cell infusion
189847985|NCT05141253|other|T/B/NK cell ratio in peripheral blood after RD133 cell infusion.|Maximum of 5 years post infusion||The ratio of T cell and B cell, T cell and NK cell, B cell and NK cell in peripheral blood after RD133 cell infusion.
189847986|NCT05141253|other|Levels of inflammatory factors in peripheral blood after RD133 cell infusion.|Maximum of 5 years post infusion||Levels of inflammatory factors (including but not limited to CRP, IL-6, IL-10) in peripheral blood after RD133 cell infusion.
190922132|NCT02644655|primary|Occurrence of adverse events and tumor response rate related to study drug|2 years||
190355042|NCT05539430|primary|To characterize the safety and tolerability of LB1908 and determine the optimal dose or recommended dose for expansion (RDE)|28 days||Multiple doses will be tested to establish a recommended dose.
190355043|NCT05539430|primary|To further characterize the safety and tolerability of LB1908 with the RDE identified in the dose-escalation and determine the recommended Phase 2 dose (RP2D)|90 days||Treatment of additional patients at the recommended dose as identified in the initial dose escalation part of the study.
190355044|NCT05539430|secondary|To evaluate the preliminary efficacy of LB1908|Through study completion, a minimum of 2 years||Measured by Response Evaluation Criteria In Solid Tumors (RECIST)
190355045|NCT05539430|secondary|To characterize the pharmacokinetics of LB1908 in blood|Through study completion, a minimum of 2 years||CAR-positive T cell counts, CAR transgene level in blood
190355046|NCT05539430|secondary|To evaluate the immunogenicity of LB1908|Through study completion, a minimum of 2 years||Presence of anti-LB1908 antibodies
191484556|NCT03118180|primary|overall response rate|Up to 30 months||the number of response patients/the number of total patients
189853506|NCT03029273|primary|Number of participants with adverse events|30 Days||To evaluate the safety and feasibility of the administration of anti-NY-ESO-1 TCR transduced T cells in patients with HLA-A2+ NY-ESO-1 expressing NSCLC.
189853507|NCT03029273|secondary|Number of participants with clinical responses|270 Days||To evaluate the efficacy of NYESO-1 positive NSCLS patients treated with NY-ESO-1 antigen specific affinity-enhanced TCR transduced autologous T cell therapy.
190357815|NCT01853631|primary|Number of patients with dose limiting toxicity (DLT)|6 weeks||Toxicity will be evaluated according to the NCI Common Terminology Criteria for Adverse Events (CTCAE) scale, version 4. DLT will be defined as any of the following that is NOT (1) pre-existing, or (2) due to infection (to which patients with CLL and NHL are predisposed), or (3) due to underlying malignancy, and that may, after consultation with the FDA when indicated, be considered possibly, probably, or definitely related to the study cellular products: (1) Non-hematologic DLT is any grade 3 or grade 4 non-hematologic toxicity, including allergic reactions to T cell infusions; (2) Hematologic DLT is defined as any grade 4 hematologic toxicity. Patients with evidence of bone marrow disease (metastases or diffuse infiltration) are not evaluable for hematologic dose limiting toxicity.
190357816|NCT01853631|secondary|Survival of CD19.CAR-ATLs|15 years||Survival will be measured by a real time Q-PCR assay to detect CD19.CAR-ATLs in peripheral blood from subjects. Plots will be generated to depict patterns of survival. Also, longitudinal modeling techniques will be used.
190357817|NCT01853631|secondary|Frequency of the two distinct T cell products post infusion|15 years||To compare the changes in frequency of two different T-cell products in the same patient, two different Q-PCR assays will be used, which distinguish each CAR by the presence or absence of the CD137 co-stimulatory endodomain gene.
190357818|NCT01853631|secondary|Number of patients with tumor response|15 years||Tumor responses will be assessed by the International Working Group Revised Response Criteria for Malignant Lymphoma or the National Cancer Institute CLL Working Group Recommendations, as applicable.
190357819|NCT01853631|secondary|Percentage of circulating modified T cells after additional doses|15 years||Changes in the percentage of circulating modified T cells after additional doses will be measured by each respective real time Q-PCR assay to detect CD19.CAR-ATLs in peripheral blood from subjects. Plots will be generated to depict patterns of survival. Also, longitudinal modeling techniques will be used.
