id|nct_id|outcome_type|title|description|time_frame|population|anticipated_posting_date|anticipated_posting_month_year|units|units_analyzed|dispersion_type|param_type
33302971|NCT02030847|Primary|Overall Complete Remission Rate at Day 28 After CART-19 Therapy|"Overall Complete Remission Rate (ORR) which includes complete remission (CR) and CR with incomplete blood count recovery (CRi) at Day 28.~Overall Complete Remission Rate = CR+ CRi"|28 Days|Out of 42 enrolled, only 30 patients were infused with CART-19 product. 30 infused patients were considered for outcome measure.|||Participants|||Count of Participants
33302972|NCT02030847|Secondary|Best Overall Response|For the secondary efficacy objectives for this study, the number of patients were computed with a best overall disease response of CR or CRi, where the best overall disease response is defined as the best disease response recorded from the start of the treatment until death, last follow up, relapse or start of new anticancer therapy, whichever comes first.|from the start of the treatment until death, last follow up, relapse or start of new anticancer therapy, whichever comes first, assessed up to 12 months|Out of 42 enrolled, only 30 patients were infused with CART-19 product. 30 infused patients were considered for outcome measure.|||Participants|||Count of Participants
33012737|NCT01593696|Primary|Number of Participants Who Received Preparative Chemotherapy Followed by Cluster of Differentiation (CD)19-Chimeric Antigen Receptor (CAR): CD19 CAR T-cells With < Grade 4 Cytokine Release Syndrome|Participants with B cell malignancies who received preparative chemotherapy followed by CD19 CAR T-cells with < Grade 4 cytokine release syndrome.|Beginning of preparative regimen through Day 28 after CD19 CAR infusion|Only 15/16 subjects were analyzed in Phase 2, Arm 1 because one subject did not received CAR cell infusion and therefore could not be evaluated for response.|||Participants|||Count of Participants
33012738|NCT01593696|Primary|Number of Participants in Which the Prescribed Dose of Cluster of Differentiation (CD)19-Chimeric Antigen Receptor (CAR): CD19 CAR T-cells Were Successfully Manufactured|Participants who had T-cells collected by apheresis and subsequently had the amount of CAR T-cells manufactured as prescribed by the dose level they were enrolled in.|Apheresis through completion of CAR manufacturing process, approximately 2 weeks|Per protocol, only patients treated in Phase 1 were analyzed for this outcome measure.|||Participants|||Count of Participants
33012739|NCT01593696|Secondary|Number of Participants Who Were Administered Intensive Chemotherapy Prior to Cluster of Differentiation (CD)19-Chimeric Antigen Receptor (CAR): CD19 CAR Infusion|Participants who were administered intensive chemotherapy prior to Cluster of Differentiation (CD)19-Chimeric antigen receptor (CAR): CD19 CAR infusion and received CAR cells within 21 days of the planned infusion date.|21 days of target date|Per protocol, only participants on Phase 2, Arm 2 were analyzed for this outcome measure.|||Participants|||Count of Participants
33012740|NCT01593696|Secondary|Mean Percentage Cluster of Differentiation 19 (CD19) - Chimeric Antigen-Receptor (CAR) T-Cells in Blood, Bone Marrow (BM) and Cerebrospinal Fluid (CSF)|Measure persistence of adoptively-transferred anti-CD19-CAR transduced T cells (defined by percent of CD19 CAR T-cells) in the blood and where possible the bone marrow and Cerebrospinal Fluid (CSF) of patients by flow cytometry assay.|28 days (+/- 4 days) after infusion of CD19 CAR T-cells|Ph 1, Arm 1: BM analyzed in 13/16 subjects & CSF in 14/16 subjects as results not available in additional subjects. Ph 2, Arm 1: 14/16 subjects analyzed as 1 not infused & 1 developed PD. One additional subject didn't have BM/CSF results. Ph 2, Arm 2: 14/16 subjects analyzed as 2 developed PD. Two additional patients didn't have BM/CSF results.|||Percentage T-cells||Standard Deviation|Mean
33012741|NCT01593696|Secondary|Number of Patients With a Complete Response (CR)|Complete Response (CR) was assessed by bone marrow evaluation was I defined as <5% leukemic blasts.|Day 28 (+/- 4 days) after CD19 CAR infusion|Only 15/16 subjects were analyzed in Phase 2, Arm 1 because one subject did not received CAR cell infusion and therefore could not be evaluated for response.|||Participants|||Count of Participants
33012742|NCT01593696|Secondary|Number of Participants With Grade 4 Cytokine Release Syndrome (CRS)|Participants with Grade 4 Cytokine Release Syndrome (CRS). CRS is defined as a clinical syndrome that may occur after cell therapy due to the release of cytokines (substances secreted by immune cells) into the body's blood stream.|Day 28 (+/- 4 days) after CD19 CAR infusion.|Only 15/16 subjects were analyzed in Phase 2, Arm 1 because one subject did not received CAR cell infusion and therefore could not be evaluated for response.|||Participants|||Count of Participants
33012743|NCT01593696|Secondary|Number of Participants With Serious and Non-Serious Adverse Events|Here is the count of participants with serious and non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v4.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Date treatment consent signed to date off study, from 1.5 months up to 3.1 years.||||Participants|||Count of Participants
33323800|NCT02348216|Primary|Phase 1 Study: Number of Participants Experiencing Adverse Events (AEs) Defined as Dose Limiting Toxicities (DLTs)|"DLT was defined as axicabtagene ciloleucel-related events with onset within first 30 days following infusion:~Grade (GR) 4 neutropenia lasting > 21 days and GR 4 thrombocytopenia lasting > 35 days from day of cell transfer;~Any axicabtagene ciloleucel-related AE requiring intubation;~All other GR 3 toxicities lasting > 3 days and all GR 4 toxicities, with exception of following conditions which were not considered DLTs: aphasia/dysphasia or confusion/cognitive disturbance which resolved to GR ≤ 1 within 2 weeks and to baseline within 4 weeks; fever GR 3; myelosuppression defined as lymphopenia, decreased hemoglobin, neutropenia and thrombocytopenia unless neutropenia and thrombocytopenia met DLT definition described above; immediate hypersensitivity reactions occurring within 2 hours of cell infusion that were reversible to a ≤ GR 2 within 24 hours of cell administration with standard therapy; hypogammaglobulinemia GR 3 or 4."|First infusion date of axicabtagene ciloleucel up to 30 days|DLT-Evaluable Analysis Set included participants treated in Phase 1 dosing cohort who received the target dose and were followed for at least 30 days after the axicabtagene ciloleucel infusion; or dose of anti-CD19 CAR T cells (axicabtagene ciloleucel) lower than the target for that cohort and experienced a DLT during the 30 day post-infusion period.|||Participants|||Count of Participants
33323801|NCT02348216|Primary|Phase 2 Pivotal Study (Cohorts 1 and 2): Overall Response Rate (ORR) as Assessed by Investigator Per Revised International Working Group (IWG) Response Criteria for Malignant Lymphoma|ORR was defined as the percentage of participants achieving either a complete response (CR) or a partial response (PR), as assessed by the study investigators using revised IWG Response Criteria for Malignant Lymphoma (Cheson et al, 2007). CR: complete disappearance of all detectable clinical evidence of disease and disease-related symptoms; all lymph nodes and nodal masses must have regressed to normal size; spleen and/or liver must be normal size, not be palpable, and no nodules; bone marrow aspirate and biopsy must show no evidence of disease. PR: a ≥ 50% decrease in sum of the product of the diameters (SPD) of up to 6 of the largest dominant nodes or nodal masses; no increase in size of nodes, liver or spleen and no new sites of disease; multiple splenic and hepatic nodules (if present) must regress by ≥ 50% in the SPD; > 50% decrease in the greatest transverse diameter for single nodules. 95% confidence interval (CI) was calculated by Clopper-Pearson method.|First infusion date of axicabtagene ciloleucel to the data cutoff date of 27 January 2017 (maximum: 20 months)|The Modified Intent-to-Treat (mITT) analysis set included all participants treated with at least 1.0 x 10^6 anti-CD19 CAR T cells/kg.|||percentage of participants||95% Confidence Interval|Number
33323802|NCT02348216|Primary|Phase 2 Safety Management Study (Cohort 3): Percentage of Participants With Treatment-Emergent Cytokine Release Syndrome (CRS) and Neurologic Toxicities by Severity Grades|TEAE was defined as any AE with onset on or after the start of treatment. CRS events were graded by Lee et al 2014. Grade 1 : No life threatening symptoms and require symptomatic treatment only; Grade 2: Symptoms require and respond to moderate intervention; Grade 3: Symptoms require and respond to aggressive intervention; Grade 4: Life-threatening symptoms and requirements for ventilator support or continuous venovenous hemodialysis (CVVHD), and Grade 5: Death. Neurologic toxicities were graded by Common Terminology Criteria for Adverse Events (CTCAE) version 4.03. Grade 1: Mild, asymptomatic or mild symptoms and intervention not indicated; Grade 2: Moderate and minimal, local or noninvasive intervention indicated; Grade 3: Severe or medically significant but not immediately life-threatening, hospitalization or prolongation of hospitalization indicated; Grade 4: Life-threatening and urgent intervention indicated; Grade 5: Death related to AE.|First infusion date of axicabtagene ciloleucel to the data cutoff of 26 April 2018 (maximum: 35 months)|The Safety Analysis Set included all participants treated with any dose of axicabtagene ciloleucel.|||percentage of participants|||Number
33323803|NCT02348216|Primary|Phase 2 Safety Management Study (Cohort 4): Percentage of Participants With Treatment-Emergent CRS and Neurologic Toxicities by Severity Grades|TEAE was defined as any AE with onset on or after the start of treatment. CRS events were graded by Lee et al 2014. Grade 1 : No life threatening symptoms and require symptomatic treatment only; Grade 2: Symptoms require and respond to moderate intervention; Grade 3: Symptoms require and respond to aggressive intervention; Grade 4: Life-threatening symptoms and requirements for ventilator support or CVVHD, and Grade 5: Death. Neurologic toxicities were graded by CTCAE version 4.03. Grade 1: Mild, asymptomatic or mild symptoms and intervention not indicated; Grade 2: Moderate and minimal, local or noninvasive intervention indicated; Grade 3: Severe or medically significant but not immediately life-threatening, hospitalization or prolongation of hospitalization indicated; Grade 4: Life-threatening and urgent intervention indicated; Grade 5: Death related to AE.|First infusion date of axicabtagene ciloleucel to the data cutoff of 06 May 2019 (maximum: 47.5 months)|The Safety Analysis Set included all participants treated with any dose of axicabtagene ciloleucel.|||percentage of participants|||Number
33323804|NCT02348216|Primary|Phase 2 Safety Management Study (Cohort 5): Percentage of Participants With Treatment-Emergent CRS and Neurologic Toxicities by Severity Grades|TEAE was defined as any AE with onset on or after the start of treatment. CRS events were graded by Lee et al 2014. Grade 1 : No life threatening symptoms and require symptomatic treatment only; Grade 2: Symptoms require and respond to moderate intervention; Grade 3: Symptoms require and respond to aggressive intervention; Grade 4: Life-threatening symptoms and requirements for ventilator support or CVVHD, and Grade 5: Death. Neurologic toxicities were graded by CTCAE version 4.03. Grade 1: Mild, asymptomatic or mild symptoms and intervention not indicated; Grade 2: Moderate and minimal, local or noninvasive intervention indicated; Grade 3: Severe or medically significant but not immediately life-threatening, hospitalization or prolongation of hospitalization indicated; Grade 4: Life-threatening and urgent intervention indicated; Grade 5: Death related to AE.|First infusion date of axicabtagene ciloleucel to the data cutoff of 10 September 2020 (maximum: 64 months)|The Safety Analysis Set included all participants treated with any dose of axicabtagene ciloleucel.|||percentage of participants|||Number
33323805|NCT02348216|Primary|Phase 2 Safety Management Study (Cohort 6): Percentage of Participants With Treatment-Emergent CRS and Neurologic Toxicities by Severity Grades|TEAE was defined as any AE with onset on or after the start of treatment. CRS events were graded by Lee et al 2014. Grade 1 : No life threatening symptoms and require symptomatic treatment only; Grade 2: Symptoms require and respond to moderate intervention; Grade 3: Symptoms require and respond to aggressive intervention; Grade 4: Life-threatening symptoms and requirements for ventilator support or CVVHD, and Grade 5: Death. Neurologic toxicities were graded by CTCAE version 4.03. Grade 1: Mild, asymptomatic or mild symptoms and intervention not indicated; Grade 2: Moderate and minimal, local or noninvasive intervention indicated; Grade 3: Severe or medically significant but not immediately life-threatening, hospitalization or prolongation of hospitalization indicated; Grade 4: Life-threatening and urgent intervention indicated; Grade 5: Death related to AE.|First infusion date of axicabtagene ciloleucel to the data cutoff of 16 June 2020 (maximum: 61 months)|The Safety Analysis Set included all participants treated with any dose of axicabtagene ciloleucel.|||percentage of participants|||Number
33323806|NCT02348216|Secondary|Phase 2: Duration of Response (DOR) as Assessed by Investigator Per Revised IWG Response Criteria for Malignant Lymphoma|Among participants who experience an objective response (OR), DOR was defined as the date of their first objective response (CR or PR which was subsequently confirmed) to disease progression per the revised IWG Response Criteria for Malignant Lymphoma or death regardless of cause. CR and PR as defined in outcome measure 2. Disease progression (PD) was defined by at least one of the following: ≥ 50% increase from nadir in the sum of the products of at least 2 lymph nodes, or at least a 50% increase in the product of the diameters of a single lymph node; appearance of a new lesion > 1.5 cm in any axis; ≥ 50% increase in size of splenic or hepatic nodules; ≥ 50% increase in the longest diameter of any single previously identified node > 1 cm in its short axis. Kaplan-Meier (KM) estimates was used for analyses.|First OR to data cutoff date of 27 Jan 2017, 26 Apr 2018, 6 May 2019, 10 Sep 2010, and 16 Jun 2020 for Cohorts 1 and 2, 3, 4, 5, and 6 respectively (median duration: 5.3, 4.9, 11.1, 5.2, 11.4, and 5.8 months for Cohorts 1, 2, 3, 4, 5, and 6 respectively)|Participants in the mITT Analysis Set with objective response were analyzed.|||months||95% Confidence Interval|Median
33323807|NCT02348216|Secondary|Phase 1 Study: ORR as Assessed by Investigator Per Revised IWG Response Criteria for Malignant Lymphoma|ORR was defined as the percentage of participants achieving either a CR or a PR, as assessed by the study investigators using revised IWG Response Criteria for Malignant Lymphoma (Cheson et al, 2007). CR: complete disappearance of all detectable clinical evidence of disease and disease-related symptoms; all lymph nodes and nodal masses must have regressed to normal size; spleen and/or liver must be normal size, not be palpable, and no nodules; bone marrow aspirate and biopsy must show no evidence of disease. PR: a ≥ 50% decrease in SPD of up to 6 of the largest dominant nodes or nodal masses; no increase in size of nodes, liver or spleen and no new sites of disease; multiple splenic and hepatic nodules (if present) must regress by ≥ 50% in the SPD; > 50% decrease in the greatest transverse diameter for single nodules.|First infusion date of axicabtagene ciloleucel to the data cutoff date of 27 January 2017 (maximum: 20 months)|Participants in the Safety Analysis Set were analyzed.|||percentage of participants|||Number
33323808|NCT02348216|Secondary|Phase 2 Pivotal Study (Cohorts 1 and 2): ORR Per Independent Radiological Review Committee (IRRC)|ORR was defined as the percentage of participants achieving either a CR or a PR, as assessed by the IRRC using revised IWG Response Criteria for Malignant Lymphoma (Cheson et al, 2007). CR: complete disappearance of all detectable clinical evidence of disease and disease-related symptoms; all lymph nodes and nodal masses must have regressed to normal size; spleen and/or liver must be normal size, not be palpable, and no nodules; bone marrow aspirate and biopsy must show no evidence of disease. PR: a ≥ 50% decrease in SPD of up to 6 of the largest dominant nodes or nodal masses; no increase in size of nodes, liver or spleen and no new sites of disease; multiple splenic and hepatic nodules (if present) must regress by ≥ 50% in the SPD; > 50% decrease in the greatest transverse diameter for single nodules. 95% CI was calculated by Clopper-Pearson method.|First infusion date of axicabtagene ciloleucel to the data cutoff date of 27 January 2017 (maximum: 20 months)|Participants in the mITT Analysis Set were analyzed.|||percentage of participants||95% Confidence Interval|Number
33323809|NCT02348216|Secondary|Phase 2 Safety Management Study (Cohorts 3, 4, 5, and 6): ORR as Assessed by Investigator Per the Revised IWG Response Criteria for Malignant Lymphoma|ORR was defined as the percentage of participants achieving either a CR or a PR, as assessed by the study investigators using revised IWG Response Criteria for Malignant Lymphoma (Cheson et al, 2007). CR: complete disappearance of all detectable clinical evidence of disease and disease-related symptoms; all lymph nodes and nodal masses must have regressed to normal size; spleen and/or liver must be normal size, not be palpable, and no nodules; bone marrow aspirate and biopsy must show no evidence of disease. PR: a ≥ 50% decrease in SPD of up to 6 of the largest dominant nodes or nodal masses; no increase in size of nodes, liver or spleen and no new sites of disease; multiple splenic and hepatic nodules (if present) must regress by ≥ 50% in the SPD; > 50% decrease in the greatest transverse diameter for single nodules. 95% CI was calculated by Clopper-Pearson method.|First infusion date of axicabtagene ciloleucel to the data cutoff date of 26 Apr 2018, 06 May 2019, 10 Sep 2020, and 16 Jun 2020 for Cohorts 3, 4, 5, and 6 respectively (maximum: 35, 47.5, 64, and 61 months for Cohorts 3, 4, 5, and 6 respectively)|Participants in the mITT Analysis Set were analyzed.|||percentage of participants||95% Confidence Interval|Number
33323810|NCT02348216|Secondary|Phase 2: Progression-Free Survival (PFS) as Assessed by Investigator Per Revised IWG Response Criteria for Malignant Lymphoma|PFS was defined as the time from the axicabtagene ciloleucel infusion date to the date of disease progression per the revised IWG Response Criteria for Malignant Lymphoma (Cheson et al, 2007) or death from any cause. Participants not meeting the criteria for progression by the analysis data cutoff date were censored at their last evaluable disease assessment date. Disease progression was defined by at least one of the following: ≥ 50% increase from nadir in the sum of the products of at least 2 lymph nodes, or at least a 50% increase in the product of the diameters of a single lymph node; appearance of a new lesion > 1.5 cm in any axis; ≥ 50% increase in size of splenic or hepatic nodules; ≥ 50% increase in the longest diameter of any single previously identified node > 1 cm in its short axis. KM estimates was used for analyses.|First infusion date to PD or death or data cutoff date 27 Jan 2017, 26 Apr 2018, 06 May 2019, 10 Sep 2020, and 16 Jun 2020 for Cohorts 1 and 2, 3, 4, 5, 6 respectively (maximum: 20, 35, 47.5, 64, and 61 months for Cohorts 1 and 2, 3, 4, 5, 6 respectively)|Participants in the mITT Analysis Set were analyzed.|||months||95% Confidence Interval|Median
33323811|NCT02348216|Secondary|Phase 2: Overall Survival (OS)|OS was defined as the time from axicabtagene ciloleucel infusion to the date of death. Participants who did not die by the analysis data cutoff date were censored at their last contact date. KM estimates was used for analyses.|First infusion date to the death or data cutoff date of 27 Jan 2017, 26 Apr 2018, 6 May 2019, 10 Sep 2020, and 16 Jun 2020 for Cohorts 1 and 2, 3, 4, 5, 6 respectively (maximum: 20, 35, 47.5, 64, and 61 months for Cohorts 1 and 2, 3, 4, 5, 6 respectively)|Participants in the mITT Analysis Set were analyzed.|||months||95% Confidence Interval|Median
33323812|NCT02348216|Secondary|Phase 2 Pivotal Study (Cohorts 1 and 2): Duration of Response (DOR) Using IRRC Per Cheson 2007|Among participants who experience an objective response, DOR was defined as the date of their first objective response (CR or PR which was subsequently confirmed) to PD per the revised IWG Response Criteria for Malignant Lymphoma or death regardless of cause. CR and PR as defined in outcome measure 2. PD was defined by at least one of the following: ≥ 50% increase from nadir in the sum of the products of at least 2 lymph nodes, or at least a 50% increase in the product of the diameters of a single lymph node; appearance of a new lesion > 1.5 cm in any axis; ≥ 50% increase in size of splenic or hepatic nodules; ≥ 50% increase in the longest diameter of any single previously identified node > 1 cm in its short axis. Kaplan-Meier (KM) estimates was used for analyses.|First objective response to the data cutoff date of 27 January 2017 (maximum: 20 months)|Participants in the mITT Analysis Set with objective response were analyzed.|||months||95% Confidence Interval|Median
33323813|NCT02348216|Secondary|Phase 2 Pivotal Study (Cohorts 1 and 2): Best Overall Response Using IRRC Per Cheson 2007|The best overall response for each participant was based on the assessments of response (CR, PR, stable disease [SD], PD, and not done [ND]) made by the the IRRC using IWG 2007 criteria (Cheson et al, 2007). CR and PR as defined in outcome measure 2. PD defined by at least one of the following: ≥ 50% increase from nadir in the sum of the products of at least 2 lymph nodes, or at least a 50% increase in the product of the diameters of a single lymph node; appearance of a new lesion > 1.5 cm in any axis; ≥ 50% increase in size of splenic or hepatic nodules; ≥ 50% increase in the longest diameter of any single previously identified node > 1 cm in its short axis. SD: Neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD. Percentage of participants with best overall response of CR, PR, SD, PD, and ND was reported.|First infusion date of axicabtagene ciloleucel to the data cutoff date of 27 January 2017 (maximum: 20 months)|Participants in the mITT Analysis Set were analyzed.|||percentage of participants|||Number
33323814|NCT02348216|Secondary|Phase 2 Pivotal Study (Cohorts 1 and 2): PFS Using IRRC Per Cheson 2007|PFS was defined as the time from the axicabtagene ciloleucel infusion date to the date of disease progression per the revised IWG Response Criteria for Malignant Lymphoma (Cheson et al, 2007) or death from any cause. Participants not meeting the criteria for progression by the analysis data cutoff date were censored at their last evaluable disease assessment date. PD defined by at least one of the following: ≥ 50% increase from nadir in the sum of the products of at least 2 lymph nodes, or at least a 50% increase in the product of the diameters of a single lymph node; appearance of a new lesion > 1.5 cm in any axis; ≥ 50% increase in size of splenic or hepatic nodules; ≥ 50% increase in the longest diameter of any single previously identified node > 1 cm in its short axis. KM estimates was used for analyses.|First infusion date of axicabtagene ciloleucel to the date of disease progression or death from any cause or the data cutoff date of 27 January 2017 (maximum: 20 months)|Participants in the mITT Analysis Set with available data were analyzed.|||months||95% Confidence Interval|Median
33323815|NCT02348216|Secondary|Percentage of Participants Experiencing Treatment-Emergent Adverse Events (TEAEs)|An adverse event was defined as any untoward medical occurrence in a clinical trial participants. The event did not necessarily have a relationship with study treatment. Adverse events included worsening of a pre-existing medical condition. Worsening indicated that the pre-existing medical condition had increased in severity, frequency, and/or duration or had an association with a worse outcome. A pre-existing condition that had not worsened during the study or involved an intervention such as elective cosmetic surgery or a medical procedure while on study, was not considered an adverse event. TEAE was defined as any AE with onset on or after the start of treatment.|First infusion date to data cutoff 27 Jan 2017 (Phase 1,Cohorts 1,2), 26 Apr 2018, 6 May 2019, 10 Sep 2020, 16 Jun 2020 for Cohorts 3,4,5,6 respectively (maximum: 20 months for Phase 1,Cohorts 1,2; 35, 47.5, 64, 61 months for Cohorts 3,4,5,6 respectively)|Participants in the Safety Analysis Set were analyzed.|||percentage of participants|||Number
33323816|NCT02348216|Secondary|Percentage of Participants Experiencing Laboratory Toxicity Grade Shifts to Grade 4 and Grade 3 or Higher Resulting From Increased Parameter Value|Grading categories were determined by CTCAE version 4.03. Shifts to Grade 3 or higher has been reported for Phase 2 Cohort 3. For Phase 1 and all other cohorts of Phase 2, shifts to Grade 4 has been reported.|First infusion date to data cutoff 27 Jan 2017 (Phase 1,Cohorts 1,2), 26 Apr 2018, 6 May 2019, 10 Sep 2020, 16 Jun 2020 for Cohorts 3,4,5,6 respectively (maximum: 20 months for Phase 1,Cohorts 1,2; 35, 47.5, 64, 61 months for Cohorts 3,4,5,6 respectively)|Participants in the Safety Analysis Set were analyzed.|||percentage of participants|||Number
33323817|NCT02348216|Secondary|Percentage of Participants Experiencing Laboratory Toxicity Grade Shifts to Grade 4 and Grade 3 or Higher Resulting From Decreased Parameter Value|Grading categories were determined by CTCAE version 4.03. Shifts to Grade 3 or higher has been reported for Phase 2 Cohort 3. For Phase 1 and all other cohorts of Phase 2, shifts to Grade 4 has been reported.|First infusion date to data cutoff 27 Jan 2017 (Phase 1,Cohorts 1,2), 26 Apr 2018, 6 May 2019, 10 Sep 2020, 16 Jun 2020 for Cohorts 3,4,5,6 respectively (maximum: 20 months for Phase 1,Cohorts 1,2; 35, 47.5, 64, 61 months for Cohorts 3,4,5,6 respectively)|Participants in the Safety Analysis Set were analyzed.|||percentage of participants|||Number
33323818|NCT02348216|Secondary|Percentage of Participants With Anti-Axicabtagene Ciloleucel Antibodies||First infusion date to data cutoff 27 Jan 2017 (Phase 1,Cohorts 1,2), 26 Apr 2018, 6 May 2019, 10 Sep 2020, 16 Jun 2020 for Cohorts 3,4,5,6 respectively (maximum: 20 months for Phase 1,Cohorts 1,2; 35, 47.5, 64, 61 months for Cohorts 3,4,5,6 respectively)|Participants in the Safety Analysis Set were analyzed.|||percentage of participants|||Number
33323819|NCT02348216|Secondary|Pharmacokinetics: Peak Level of Anti-CD19 CAR T Cells in Blood|Peak was defined as the maximum number of CAR T cells measured post-infusion.|Enrollment up to Month 6|Participants in the Safety Analysis Set with available data were analyzed.|||cells/µL||Inter-Quartile Range|Median
33323820|NCT02348216|Secondary|Pharmacodynamics: Peak Level of Cytokines in Serum (Phase 1 and Phase 2 Cohorts 1, 2, and 3)|Peak was defined as the maximum post-baseline level of the cytokine. Following key cytokines were measured: interferon-gamma induced protein 10 (IP-10), ferritin, granzyme B, intercellular adhesion molecule (ICAM-1), interferon-gamma (IFN-gamma), interleukin-1 receptor antagonist (IL-1RA), IL-2, interleukin-2 receptor alpha (IL-2 R alpha), IL-6, IL-7, IL-8, IL-10, IL-15, perforin, tumor necrosis factor alpha (TNF alpha), and vascular cell adhesion molecule- 1 (VCAM-1).|Enrollment up to Week 4|Participants in the Safety Analysis Set were analyzed.|||pg/mL||Full Range|Median
33323821|NCT02348216|Secondary|Pharmacodynamics: Peak Level of Cytokines (IP-10, Granzyme B, IFN-gamma, IL-1 RA, IL-10, IL-15, IL-2, IL-6, IL-7, IL-8, TNF Alpha, and GM-CSF) in Serum (Phase 2 Cohorts 4, 5, and 6)|Peak was defined as the maximum post-baseline level of the cytokine. Following key cytokines were measured: IP-10, granzyme B, IFN-gamma, IL-1 RA, IL-2, IL-6, IL-7, IL-8, IL-10, IL-15, TNF alpha, and granulocyte-macrophage colony-stimulating factor (GM-CSF).|Enrollment up to Week 4|Participants in the Safety Analysis Set with available data were analyzed.|||pg/mL||Full Range|Median
33323822|NCT02348216|Secondary|Pharmacodynamics: Peak Level of Cytokines (Ferritin, ICAM-1, IL-2 R, Perforin, and VCAM-1) in Serum (Phase 2 Cohorts 4, 5, and 6)|Peak was defined as the maximum post-baseline level of the cytokine. Following key cytokines were measured: Ferritin, ICAM-1, IL-2 R, Perforin, and VCAM-1.|Enrollment up to Week 4|Participants in the Safety Analysis Set were analyzed.|||ng/mL||Full Range|Median
33323823|NCT02348216|Secondary|Pharmacodynamics: Peak Level of Cytokine (CRP) in Serum|Peak was defined as the maximum post-baseline level of the cytokine.|Enrollment up to Week 4|Participants in the Safety Analysis Set were analyzed.|||mg/mL||Full Range|Median
33323824|NCT02348216|Secondary|Pharmacodynamics: Peak Level of Cytokine (Ferritin) in Serum (Phase 1 and Phase 2 Cohorts 1 and 2)|Peak was defined as the maximum post-baseline level of the cytokine.|Enrollment up to Week 4|Participants in the Safety Analysis Set were analyzed.|||pg/mL||Full Range|Median
33323825|NCT02348216|Secondary|Pharmacodynamics: Peak Level of Cytokine (Ferritin) in Serum (Phase 2 Cohort 3)|Peak was defined as the maximum post-baseline level of the cytokine.|Enrollment up to Week 4|Participants in the Safety Analysis Set were analyzed.|||ng/mL||Full Range|Median
33323826|NCT02348216|Secondary|Percentage of Participants With Positive Replication Competent Retrovirus (RCR)|RCR was analyzed in blood samples by central laboratory. Because axicabtagene ciloleucel comprised retroviral vector transduced T cells, the presence of RCR in the blood of treated participants was reported.|Day 0 (pre-infusion) to data cutoff 27 Jan 2017 (Phase 1,Cohorts 1,2), 26 Apr 2018, 6 May 2019, 10 Sep 2020, 16 Jun 2020 for Cohorts 3,4,5,6 respectively (maximum:20 months for Phase 1,Cohorts 1,2; 35, 47.5, 64, 61 months for Cohorts 3,4,5,6 respectively)|Participants in the Safety Analysis Set were analyzed.|||percentage of participants|||Number
33323827|NCT02348216|Secondary|Phase 2 Safety Management Study: Number of Participants With the European Quality of Life Five Dimension Five Level Scale (EQ-5D) Score|"EQ-5D is a self-reported questionnaire used for assessing the overall health status of a participant scoring 5 dimensions of health: mobility, self-care, usual activities, pain/discomfort and anxiety/depression. Each dimension was divided into 5 levels of severity: No problem, Slight problems, Moderate problems, Severe problems, and Extreme problems (unable to perform). EQ-5D health states, defined by the EQ-5D descriptive system, are converted into a single summary index by applying a formula that attaches values (also called QOL weights or QOL utilities) to each of the levels in each dimension. EQ-5D Summary Index values range from -0.11 (worst health state) to 1.00 (perfect health state)."|Baseline, Week 4, Month 3, and Month 6|Participants in Safety Analysis Set with available data were analyzed.|||Participants|||Count of Participants
33323828|NCT02348216|Secondary|Phase 2 Safety Management Study: EQ-5D Visual Analogue Scale (VAS) Score|EQ-5D is a self-reported questionnaire used for assessing the overall health status of a participant. The EQ-5D-VAS records the participant's self-rated health on a vertical visual analogue scale and is asked to make a global assessment of their current state of health with 0 indicating the worst health they can imagine and 100 indicating the best health they can imagine.|Baseline, Week 4, Month 3, and Month 6|Participants in Safety Analysis Set with available data were analyzed.|||units on a scale||Standard Deviation|Mean
33212201|NCT03338972|Primary|Dose-limiting Toxicities (DLT) Rate|Observed DLT rates will be summarized based on the DLT-Evaluable analysis set. Outcome will be reported as count of participants in each arm who experienced a DLT. No patients received more than one CAR T cell infusion, so DLT assessment period was only 28 days after first and only CAR T infusion for all patients.|Up to 28 days after CAR T cell infusion||||Participants|||Count of Participants
33212202|NCT03338972|Primary|Count of Patients That Experienced Adverse Events|Toxicity graded using National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.03 No patients received more than one CAR T cell infusion, so AE assessment period was only 28 days after first and only CAR T infusion for all patients.|Up to 28 days after CAR T-cell infusion||||Participants|||Count of Participants
33212203|NCT03338972|Secondary|Duration of Persistence of Adoptively Transferred BCMA CAR-T Cells||Baseline up to 1 year|||||||
33212204|NCT03338972|Secondary|Migration of Adoptively Transferred BCMA CAR-T Cells||Baseline up to 1 year|||||||
