id|nct_id|intervention_type|name|description
56169681|NCT04601831|Radiation|Focal radiation therapy (RT)|"Radiation therapy for phase II:~Definitive 40-50 Gy EQD2 (i.e. 30 Gy in 5 fractions)~Hypofractionated regimen (i.e. 5 fractions in 1-2 weeks) recommended, but other fractionation schemes (10-20 fractions in 2-4 weeks) allowed."
56169725|NCT04316624|Drug|C-CAR066|Autologous 2nd generation CD20-directed CAR-T cells, single infusion intravenously
56169809|NCT04036019|Biological|CD20-directed CAR-T cells|Autologous 2nd generation CD20-directed CAR-T cells, single infusion intravenously
56591465|NCT03559439|Biological|CD19 CAR T|CD19 CAR T cells transduced with a lentiviral vector to express anti-CD19 scFv CD3z:CD28 administered by IV infusion. Subjects will receive 0.1-10 x 10^6 transduced CAR T cells as a split dose over three days as follows:Day 1, 10% fraction, Day 2, 30% fraction, Day 3, 60% fraction.
56591685|NCT04934774|Biological|CD7 CAR T cells|Non-gene edited anti-CD7 CAR T cells administered to patients, will be either fresh or thawed CAR T cells by IV injection after receiving lymphodepleting chemotherapy.
56012160|NCT04827745|Drug|BLINCYTO (Blinatumomab)|Blinatumomab (BLINCYTO , AMG 103, formerly also known as MT103 or bscCD19xCD3) is a novel single chain antibody construct in the class of the bispecific T-cell engager (BiTE®). Blinatumomab directs CD-3 positive effector memory T cells to CD19-positive target cells (Hoffmann et al, 2005; Dreier et al, 2002). The targeted CD19 antigen is constitutively expressed on normal B cells throughout a person's lifetime (Smet et al, 2011) and is highly conserved in B-cell malignancies (Tedder, 2009; Wang et al, 2012).
56012388|NCT02445222|Genetic|Previously treated CAR-T patients|Lentiviral-based CAR-T cell therapy
56012490|NCT02976857|Biological|C-CAR-011|lymphocytes will be transduced with lentiviral vector containing CAR-CD19 gene.
56012667|NCT04003649|Biological|IL13Ralpha2-specific Hinge-optimized 4-1BB-co-stimulatory CAR/Truncated CD19-expressing Autologous TN/MEM Cells|Given ITV/ITC
56012668|NCT04003649|Biological|Ipilimumab|Given IV
56012669|NCT04003649|Biological|Nivolumab|Given IV
56012670|NCT04003649|Other|Quality-of-Life Assessment|Ancillary studies
56012671|NCT04003649|Other|Questionnaire Administration|Ancillary studies
56012804|NCT02975687|Biological|CD19 CAR T cells|CD19 CAR T cells was transduced with a lentiviral vector to express anti-CD19 scFv TCRζ:4-1BB.
56013636|NCT03430011|Biological|JCARH125|Participants will undergo leukapheresis to isolate peripheral blood mononuclear cells (PBMCs) for the production of JCARH125. During JCARH125 production, participants may receive bridging chemotherapy for disease control. Following successful generation of JCARH125 product, participants will receive a course of lymphodepleting chemotherapy followed by one dose of JCARH125 administered intravenously (IV).
56013637|NCT03430011|Biological|JCARH125 + anakinra|Participants will undergo leukapheresis to isolate PBMCs for the production of JCARH125. During JCARH125 production, participants may receive bridging chemotherapy for disease control. Following successful generation of JCARH125 product, participants will receive a course of lymphodepleting chemotherapy followed by two doses of anakinra administered subcutaneously and one dose of JCARH125 administered IV. Subjects receive anakinra for 5 consecutive days following JCARH125 infusion.
56293922|NCT03744676|Biological|lisocabtagene maraleucel|lisocabtagene maraleucel will be administered as single dose intravenous (IV) injection
56294046|NCT04162353|Biological|BCMA-CD19 cCAR T cells|BCMA-CD19 cCAR T cells administered to patients, will be either fresh or thawed CAR T cells by IV injection after receiving lymphodepleting chemotherapy
56294084|NCT04162119|Biological|BCMA-PD1-CART Cell|This study was a single-center, open-label, single-arm, non-randomized clinical trial, which was divided into 3 groups by infusion dose level. Firstly, each dose group has 3 patients. The pretreatment regimen of cyclophosphamide (25mg/m2 for 3 consecutive days) and fludarabine (10mg/kg for 3 consecutive days) was given before CART cells were reinfused. CART cells were reinfused on the third day after the pretreatment. If no serious side effects emerges in the group, then the next group uses the subsequent higher dose. If serious side effects emerges in a single patient in any dose level, 3 more patients will be enrolled to the same dose level. After 9 or more patients, we select the safest dose and recruit more patients for CART test to explore its effectiveness.
56294341|NCT04156269|Biological|BCMA-CS1 cCAR T cells|BCMA-CS1 cCAR T cells administered to patients, will be either fresh or thawed CAR T cells by IV injection after receiving lymphodepleting chemotherapy.
56435963|NCT03690011|Genetic|CD7.CAR/28zeta CAR T cells|"Three dose levels will be evaluated:~Dose level one: 1×10^7 cells/m^2~Dose level two: 3×10^7 cells/m^2~Dose level three: 1×10^8 cells/m^2"
56173991|NCT05373147|Biological|αPD1-MSLN-CAR T cells|The safety and efficacy of αPD1-MSLN-CAR T cells will be assessed in a standard 3+3 dose escalation approach. Four doses of CAR T cells will be evaluated in this study: 1×10^5 CAR+ T cells/kg, 3×10^5 CAR+ T cells/kg, 1×10^6 CAR+ T cells/kg, and 3×10^6 CAR+ T cells/kg.
56592916|NCT04888442|Biological|pCAR-19B cells|Drug: pCAR-19B cells； Administration method: intravenous infusion； Subjects will be treated with Fludarabine and Cyclophosphamide before cell infusion.
56436059|NCT02431988|Procedure|Leukapheresis|Patients will undergo leukapheresis prior to pre-conditioning chemotherapy to provide the immune cells required to produce the therapeutic product.
56436060|NCT02431988|Drug|Cyclophosphamide|Patients will receive a standard pre-conditioning regime with cyclophosphamide 60mg/kg/day IV over 1 hour for 2 days (day-7 and day-6).
56436061|NCT02431988|Drug|Fludarabine|Fludarabine 25mg/m2/day IV over 15/30 minutes for 5 days (Day-5 to day-1).
56436062|NCT02431988|Biological|CAR19 T-Cells|"The CAR19 T-cells are to be administered on day 0 at the dose specified by the Cancer Trials Centre (CTC) at the time of registration.~Three dose cohorts are planned:~Dose Level 1: 2x105 CAR19 T-cells/kg~Dose Level 2: 1x106 CAR19 T-cells/kg~Dose Level 3: 5x106 CAR19 T-cells/kg"
56296069|NCT03741127|Drug|Rimiducid may be administered as indicated|Patients who received P-BCMA-101 in a previous trial will be evaluated in this trial for long term safety and efficacy. Rimiducid (safety switch activator) may be administered as indicated.
56296079|NCT03601078|Biological|bb2121|bb2121 consists of autologous T lymphocytes transduced with an anti-BCMA CAR lentiviral vector to express a chimeric antigen receptor targeting the human B cell maturation antigen (anti-BCMA CAR)
56296080|NCT03601078|Drug|Lenalomide|Specified dose on specified days
56175759|NCT03085173|Biological|EGFRt/19-28z/4-1BBL CAR T cells|Cohorts of 3-6 patients will be infused with escalating doses of EGFRt/19-28z/4-1BBL CAR T cells to establish the maximum tolerated dose (MTD). There are 4 planned dose levels: 1 x 10^5, 3 x 10^5, 1 x 10^6, and 3 x 10^6 CAR T cells/kg.
56015643|NCT04740203|Drug|CAR-T cells targeting CD19 and CD22|Each subject receives sequential CD19 and CD22 CAR-T cells by intravenous infusion
56015798|NCT00586391|Genetic|CD19CAR-28-zeta T cells|"Intravenous injection~Dose Level 1:~CD19CAR-28zeta - 2x10^7 cells/m^2~Dose Level 2:~CD19CAR-28zeta - 1 x10^8 cells/m^2~Dose Level 3:~CD19CAR-28zeta - 2x10^8 cells/m^2"
56015799|NCT00586391|Drug|Ipilimumab|For patients with intermediate or low grade leukemia/lymphoma, patients may receive ipilimumab once during the week 2 visit after the T cell infusion.
56296699|NCT05286164|Drug|Eltrombopag|Eltrombopag 150 mg QD for 8 weeks
56176888|NCT04514029|Drug|Simvastatin|Simvastatin 40 mg started 2 weeks (+/-5 days) prior to apheresis through day +30
56176889|NCT04514029|Drug|Dexamethasone|Intrathecal dexamethasone 8 mg on days -1, +6, +13 (+/-2 days)
56436625|NCT05666700|Biological|Combination Product: JNJ-68284528 (Cilta-cel) & 64Cu SPION dual PET-MR imaging agent|Cilta-cel is a cellular immunotherapy derived from autologous CD3+ T-cells that have undergone ex vivo modification to target B-Cell Maturation Antigen (BCMA) on the surface of plasma cells. Cilta-cel will be administered as two IV infusions, ≥70% unlabeled and ≤30% labelled. The dose will be based on the patient's weight (kg) at apheresis
56016058|NCT05445011|Drug|Fludarabine + Cyclophosphamide + TAA05 Cell Injection|Fludarabine + Cyclophosphamide + TAA05 Cell Injection Fludarabine 25 mg/kg * 3d on day-7~-2; Cyclophosphamide 250 mg/kg *3d on day-7~-2; TAA05 Cell Injection on day 0.
56436874|NCT03854994|Biological|Anti-CD19 CAR-T Cells Injection|Autologous genetically modified anti-CD19 CAR transduced T cells
56297640|NCT03614858|Biological|CART-19/22|Split intravenous infusion of CART-19/22 cells of (Dose escalating infusion of 1 - 20 x10^6 CART-19/22 cells/kg).
56297701|NCT05064787|Behavioral|Digital Health Coaching|The digital health coaching program consists of weekly calls and delivery of evidence-based content across health and wellness domains (e.g. nutrition, exercise, physical, emotional and financial health) up to 4 times weekly via text, email or mobile application. The program is 6-months in duration and designed for engagement following CAR T cell infusion.
56016753|NCT05326243|Biological|CD19-targeted chimeric antigen receptor T-cell|"Drug: Fludarabine~patients will receive a lymphodepletion chemotherapy with Fludarabine 25 mg/m2/day IV for 3 days on Day-5 to Day-3(a safe window for a small subset of patients will be D -7 to D -3).~Drug: Cyclophosphamide~patients will receive a lymphodepletion chemotherapy with cyclophosphamide 300 mg/m2/day IV for 3 dys Day-5 to Day-3(a safe window for a small subset of patients will be D -7 to D -3).~Biological: CD19 CAR-T~CD19 CAR-T cells will be administered using as a single dose at 0.1-9*10^6 cells/kg on Day 0 after completion of the lymphodepletion chemotherapy. The body weight calculated for PL001 dose is the actual body weight on the day of leukapheresis."
56298251|NCT04712864|Biological|LB1901|LB1901 - an autologous CD4-targeted CAR-T immunotherapy
56437339|NCT03631576|Biological|CD123/CLL1 CAR-T Cells|CD123/CLL1 CAR-T Cell Therapy
56299522|NCT03617198|Biological|CD4 CAR+CCR5 ZFN T-cells|A dual cohort, open-label, randomized study of the safety and tolerability of a single infusion of autologous T cells genetically modified to express a CD4 chimeric antigen receptor while also having zinc finger nuclease-mediated disruption of the CCR5 gene
56299555|NCT02844062|Biological|anti-EGFRvIII CAR T cells|CAR T cells are infused intravenously to patients in a three-day split-dose regimen（day0,10%; day1, 30%; day2, 60%）with a total targeted dose.
56299556|NCT02844062|Drug|cyclophosphamide|250 mg/m^2 d1-3
56299557|NCT02844062|Drug|Fludarabine|25mg/m^2 d1-3
56017748|NCT03019055|Biological|CAR-20/19-T cells (1.0 x10^5 CAR-20/19-T cells/kg)|"CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 0: 2.5 x10^5 CAR-20/19-T cells/kg (starting dose level)"
56017749|NCT03019055|Biological|CAR-20/19-T cells (2.5 x10^5 CAR-20/19-T cells/kg)|"CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 1: 7.5 x10^5 CAR-20/19-T cells/kg"
56017750|NCT03019055|Biological|CAR-20/19-T cells (7.5 x10^5 CAR-20/19-T cells/kg)|"CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 2: 2.5 x10^6 CAR-20/19-T cells/kg (goal cell dose)~Phase 1b Expansion Dose Level: 2.5 x 10^6 cells/kg (single infusion)"
56017751|NCT03019055|Biological|CAR-20/19-T cells (2.5 x10^6 CAR-20/19-T cells/kg)|CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.
56180311|NCT04691284|Other|Blood, urine and stool sampling|Sampling of blood and urine for miR and chemokine detection. Sampling of stool for for microbiome studies.
56180333|NCT04691713|Drug|Targeting CD276 autologous chimeric antigen receptor T cells|Chimeric antigen receptor T cells (car-t) is one of the most effective therapies for malignant tumors (especially hematological tumors). Like other immunotherapies, the basic principle is to use the patient's own immune cells to clear cancer cells. Chimeric antigen receptor (car) is the core component of car-t, which endows T cells with the ability to recognize tumor antigens in an independent manner, which enables car modified T cells to recognize a wider range of targets than natural T cell surface receptors (TCR). The basic design of car includes a tumor associated antigen binding region (usually derived from scFv segment of monoclonal antibody antigen binding region), transmembrane region and intracellular signal region. The selection of target antigen is a key determinant for the specificity and effectiveness of car and the safety of genetically modified T cells.
56300466|NCT04237428|Biological|CD19 CAR-T cells infusion|"Biological: CD19 CAR-T cells infusion Biological: CD19 CAR-T cells infusion. Pretreatment: patients enrolled in this study will receive cyclophosphamide or fludarabine plus cyclophosphamide. CD19 CAR-T cells infusion are allowed within 2 weeks after treatment.~CD19 CAR-T cells infusion: 30-60 minutes before infusion, H1 anti-histamine agents are applied (acetaminophen 30mg,po.; promethazine 25mg,i.v. ; diphenhydramine 0.5-1mg/kg, no more than 50mg.). Non-physiological doses of corticosteroids are not applied for patients during treatment or recovery unless a life-threatening emergency occurs. CD19 CAR-T cells are infused into patients for one time, the number of infused CD19 CAR-T cells are 0.5-4×10^6/kg."
56181167|NCT05667506|Biological|single dose of CNCT19|"Autologous 2nd generation CD19-directed CAR-T cells, single infusion intravenously.~Lymphodepletion treatment:~Drugs:Fludarabine Drugs: Cyclophosphamide"
56181274|NCT05266950|Biological|CI-135 CAR-T cells (0.5 x 10^6 CAR-T+ cells/kg，1.0 x 10^6 CAR-T+ cells/kg)|Recommended lymphodepletion regimen: cyclophosphamide (250 mg/m2/d, ×3d) and fludarabine (30 mg/m2/d, ×3d). If the patient has a hematological toxicity of grade 3 or higher, the alternative regimen is: cyclophosphamide (125mg/m2/d, ×3d) and fludarabine (15 mg/m2/d, ×3d). During lymphodepletion, physicians can give anti-myeloid drugs such as demethoxydaunorubicin or daunorubicin as appropriate.
56301287|NCT05627323|Biological|CHM-1101 CAR-T cells|Administered via ICT/ICV dual delivery
56181314|NCT05098613|Drug|CD19x22 CAR T Cells|Autologous peripheral blood mononuclear cells transduced with CD19x22 CAR T lentiviral vector.
56301486|NCT05117008|Drug|Belantamab mafodotin|Belantamab mafodotin will be administered IV over approximately 30 minutes at the recommended dose of 2.5 mg/kg IV over 30 minutes on day 1 of every eight-week (+/- three days) cycle for a maximum of 12 cycles. Maintenance therapy with belantamab mafodotin will continue until progressive disease (PD), death, unacceptable toxicity, withdrawal of consent or end of study (maximum of 12 cycles), whichever occurs first.
56301519|NCT04984356|Biological|WU-CART-007|A single IV infusion of WU-CART-007 Cells on Day 1
56181918|NCT04723914|Biological|dual target CAR-T cell therapy|CD19/CD20 dual target CAR-T cell therapy
56182198|NCT02937844|Biological|Anti-PD-L1 CSR T cells|Prescribed CSR T cells are infused intravenously to patients in a three-day split-dose regimen（day0,10%; day1, 30%; day2, 60%）.
56182199|NCT02937844|Drug|Cyclophosphamide|250 mg/m^2, d1-3
56182200|NCT02937844|Drug|Fludarabine|25mg/m^2, d1-3
56182236|NCT02937103|Biological|Anti-CD123-CAR-transduced T cells|The first 3 enrolled patients will receive autologous-derived CD123-targeted CAR-T cells on day 1, 2 and 3 with respective 10%, 30% and 60% of the total expected dosage after receiving lymphodepleting chemotherapy. If the 3 patients don't display severe toxicity,the next patients enrolled will get infused in 2 days with respective 40% and 60% total dosage.
56028031|NCT05616468|Biological|BGT007 Cell Injection|BGT007 cells (d0) were infused intravenously once, and the dose group was 5.0 × 10^5cells/kg，1.0 × 10^6cells/kg，3.0 × 10^6cells/kg，6.0 × 10^6cells/kg，1.0 × 10^7cells/kg。
56028032|NCT05616468|Drug|Fludarabine|Fludarabine 25~30mg/m2/d was infused intravenously for 3 consecutive days. (- 5 days to - 3 days)
56028033|NCT05616468|Drug|cyclophosphamide|250~350mg/m2/d cyclophosphamide was infused intravenously for 3 consecutive days. (- 5 days to - 3 days)
56182315|NCT02935153|Biological|Anti-CD22-CAR-transduced T cells|The first 3 enrolled patients will receive autologous-derived CD22-targeted CAR-T cells on day 1, 2 and 3 with respective 10%, 30% and 60% of the total expected dosage after receiving lymphodepleting chemotherapy. If the 3 patients don't display severe toxicity, the next patients enrolled will get infused in 2 days with respective 40% and 60% total dosage.
56182757|NCT02919046|Biological|GD2-targeted CAR-T cells|This study have only one arm that is CAR-T experimental arm. Firstly all participators will be attended the screening, who passed the screening for the treatment of CAR-T cells, the CAR-GD2-modified T cells can recognize and kill tumor cells in the body，follow-up 35 months.
56303127|NCT05168748|Drug|IMJ995 single agent|Single intravenous administration of IMJ995
56020174|NCT05620342|Biological|iC9.GD2.CAR.IL-15 T Infusion|iC9-GD2.CAR.IL-15 T-cells product will be administered via intravenous injection over 5 - 10 minutes.
56438459|NCT05404048|Other|89Zr-atezolizumab PET-imaging|89Zr-atezolizumab tracer injection + PET/CT-scan
56303735|NCT02772198|Biological|CD19 CAR T cells|Autologous T cells activated and transduced with a chimeric antigen receptor targeting CD19
56184430|NCT05415475|Biological|CEA CAR-T cells|Administration method: intravenous infusion or intraperitoneal injection； Subjects will be treated with Fludarabine and Cyclophosphamide before cell infusion.
56595231|NCT04412174|Biological|GC022F|GC022F is a bispecific CAR-T cell immunotherapy that targeted CD19 and CD22. The dosage ranges from 3×10^5 to 1×10^6 CAR+T/Kg.
56184731|NCT05075603|Drug|Efineptakin alfa|NT-I7 is administered via a single intramuscular injection after CAR-T infusion on Day 21.
56184732|NCT05075603|Drug|Tisagenlecleucel|Administered as standard of care as described in the package insert on Day 0.
56184733|NCT05075603|Drug|Axicabtagene ciloleucel|Administered as standard of care as described in the package insert on Day 0.
56184734|NCT05075603|Drug|Lisocabtagene Maraleucel|Administered as standard of care as described in the package insert on Day 0.
56020743|NCT05257083|Drug|Daratumumab|Daratumumab will be administered SC.
56020744|NCT05257083|Drug|Bortezomib|Bortezomib will be administered SC.
56020745|NCT05257083|Drug|Lenalidomide|Lenalidomide will be administered orally.
56020746|NCT05257083|Drug|Dexamethasone|Dexamethasone will be administered orally.
56020747|NCT05257083|Drug|Cilta-cel|Cilta-cel will be administered intravenously
56020748|NCT05257083|Drug|Cyclophosphamide|Cyclophosphamide will be administered intravenously.
56020749|NCT05257083|Drug|Fludarabine|Fludarabine will be administered intravenously.
56185393|NCT03768310|Biological|CD19.CAR-multiVST for Group A|Patients will be evaluated in the clinic and a single dose of CD19.CAR-multiVSTs will be given by intravenous injection on or after 30 days of the transplant (between days 30 and 90). A time period of 6 weeks will constitute the time for clinical safety monitoring.
56185394|NCT03768310|Biological|CD19.CAR-multiVST for Group B|Patients will be evaluated in the clinic and a single dose of CD19.CAR-multiVSTs will be given by intravenous injection on or after 30 days of the bone marrow transplant. A time period of 6 weeks will constitute the time for clinical safety monitoring. If patients with relapse after transplant or those with evidence of disease before bone marrow transplant have at least a partial response to the treatment or have stable disease, they will be eligible to receive up to 6 additional doses of T cells separated by a minimum of four weeks. Patients are eligible to receive additional doses only after they have completed the initial 6-week clinical safety monitoring period.
56021091|NCT05032820|Drug|Lenalidomide and bb2121|Patients complete apheresis and proceed to lymphodepleting chemotherapy with cyclophosphamide 300mg/m2 and fludarabine 30mg/m2 for 3 consecutive days followed by the infusion of BCMA CAR T-cells at a target dose of 450 x106 cells. Maintenance lenalidomide, starting at 10mg a day for 21 days of a 28-day cycle will be initiated at a minimum of at least 30 days, but no later than 180 days after the CAR T-cell infusion and will continue until the patient reaches 12 months post CAR T-cell infusion and continue free of progression.
56305761|NCT05659628|Combination Product|CD19-7×19 CAR-T combined with Tislelizumab|Participants will receive 2×106/Kg CD19-7×19 CAR-T cells infusion and Tislelizumab 200mg every 21 days for 6 cycle on the 31st day after CAR-T infusion.
56305814|NCT02537977|Biological|CD19-directed CAR-T cells|CD19-directed CAR-T cell infusion will be given by vein
56021145|NCT05000450|Genetic|ALLO-605|ALLO-605 is an anti-BCMA, TRAC/CD52 allogeneic edited, intracellular cytokine signaling containing, CAR T cell product
56021146|NCT05000450|Biological|ALLO-647|ALLO-647 is a monoclonal antibody that recognizes a CD52 antigen
56021147|NCT05000450|Drug|Fludarabine|Chemotherapy for lymphodepletion
56021148|NCT05000450|Drug|Cyclophosphamide|Chemotherapy for lymphodepletion
56305930|NCT05379569|Drug|Fludarabine|The combination of fludarabine and cyclophosphamide has synergistic effect, which can better kill B lymphocyte, and can enhance the killing effect of pretreatment regimen on B lymphocyte tumor.
56021355|NCT04855136|Biological|BB2121|CAR T Cell Therapy
56021356|NCT04855136|Drug|CC-220|Cereblon (CRBN) E3 ligase modulatory compound (CELMoD)
56021357|NCT04855136|Drug|BMS-986405|gamma secretase inhibitor (GSI)
56021396|NCT04792489|Biological|MB-CART2019.1|Chimeric antigen receptor (CAR) T cell therapy
56306346|NCT05382377|Biological|KD-025|Autologous genetically modified anti-NKG2DLs CAR transduced T cells
56306659|NCT05639972|Drug|Conditioning, E7 TCR-T cells, and aldesleukin|Participants will receive induction E7 TCR-T cell therapy.
56021733|NCT04467853|Biological|LCAR-C18S cells|Before treatment with LCAR-C18S cells, subjects will receive a conditioning regimen
56596497|NCT02706405|Biological|Autologous Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ Central Memory T-lymphocytes JCAR014|Given IV
56596498|NCT02706405|Drug|Cyclophosphamide|Given IV
56596499|NCT02706405|Biological|Durvalumab|Given IV
56596500|NCT02706405|Drug|Fludarabine|Given IV
56596660|NCT03179007|Biological|Anti-CTLA-4/PD-1 expressing MUC1-CAR-T|Every cycle, peripheral blood mononuclear cells (PBMC) are collected on day 0, CAR-T cells are cultured in a GMP standard workshop. Patients are given a three-day regimen of chemotherapy consisting of cyclophosphamide aimed to deplete the lymphocytes before cells infusion. Then the patients will receive an i.v.gtt infusion of CTLA-4 and PD-1 antibodies expressing MUC1 targeted CAR-T cells at (2-5) ×10^7 cells/kg from day 18 to day 19 (±2 days). 2 cycles are regarded as a treatment period.
56596679|NCT02761915|Other|Leukapheresis|
56596680|NCT02761915|Drug|Cyclophosphamide|
56596681|NCT02761915|Drug|Fludarabine|
56596682|NCT02761915|Genetic|1RG-CART|
56022042|NCT04093596|Genetic|ALLO-715|ALLO-715 is an allogeneic CAR T cell therapy targeting BCMA
56022043|NCT04093596|Biological|ALLO-647|ALLO-647 is a monoclonal antibody that recognizes a CD52 antigen
56022044|NCT04093596|Drug|Fludarabine|Chemotherapy for lymphodepletion
56022045|NCT04093596|Drug|Cyclophosphamide|Chemotherapy for lymphodepletion
56022046|NCT04093596|Drug|Nirogacestat|a small molecule, selective, reversible, noncompetitive inhibitor of γsecretase (GSI) that increases BCMA target density on the surface of multiple myeloma cells.
56186606|NCT05022849|Drug|JNJ-75229414|JNJ-75229414 infusion will be administered intravenously.
56186607|NCT05022849|Drug|Bridging Therapy|Bridging therapy including Anti-AR agents (example, abiraterone, enzalutamide) will be administered orally and radiotherapy, or chemotherapy (example, docetaxel) will be administered intravenously.
56186661|NCT04923893|Drug|Bortezomib|Bortezomib will be administered SC.
56186662|NCT04923893|Drug|Dexamethasone|Dexamethasone will be administered orally.
56186663|NCT04923893|Drug|Lenalidomide|Lenalidomide will be administered orally.
56186664|NCT04923893|Drug|Cilta-cel|Cilta-cel infusion will be administered.
56186665|NCT04923893|Drug|Cyclophosphamide|Cyclophosphamide will be administered intravenously.
56186666|NCT04923893|Drug|Fludarabine|Fludarabine will be administered intravenously.
56186778|NCT04662099|Biological|Conditioning chemotherapy followed by CAR T cell infusion|Conditioning chemotherapy: Cyclophosphamide 250 mg/m^2 and fludarabine 30 mg/m^2 IV infusion on days -5, -4, and -3 CAR T cells infusion: 0.75x10^6-3.0X10^6 CAR+ T cells per kg of recipient bodyweight. if DLTs don't occur at the dose of 3.0X10^6 CAR+ T cells per kg, the investigators will discuss whether to try higher dose.
56187003|NCT04181827|Drug|JNJ-68284528|Cilta-cel infusion will be administered at a target dose of 0.75 * 10^6 CAR-positive viable T cells/kilogram (kg).
56187004|NCT04181827|Drug|Pomalidomide|Pomalidomide 4 mg will be administered orally.
56187005|NCT04181827|Drug|Bortezomib|Bortezomib 1.3 milligram per meter square (mg/m^2) will be administered subcutaneously (SC).
56187006|NCT04181827|Drug|Dexamethasone|Dexamethasone 20 mg/day (10mg/day for participants >75 years of age) (on bortezomib treatment days and the days following bortezomib treatment) will be administered orally in PVd treatment; and orally or intravenous (IV) at 40 mg weekly (20mg weekly for participants >75 years of age) in DPd treatment.
56187007|NCT04181827|Drug|Daratumumab|Daratumumab 1800 mg will be administered SC.
56187026|NCT04133636|Drug|JNJ-68284528|Participants in cohort A,B,C, D, E and F will receive JNJ-68284528 intravenously.
56187027|NCT04133636|Drug|Lenalidomide|Some participants in cohort D and all participants in cohort E will also receive lenalidomide capsules orally.
56187028|NCT04133636|Drug|Daratumumab|Participants in cohort E will also receive daratumumab subcutaneous (SC) injection.
56187029|NCT04133636|Drug|Bortezomib|Participants in cohort E will also receive bortezomib subcutaneously.
56187030|NCT04133636|Drug|Dexamethasone|Participants in cohort E will also receive dexamethasone orally or intravenously.
56022784|NCT02690545|Biological|ATLCAR.CD30 cells|For Phase Ib, in adults and separately in children, two doses will be investigated: 1x10^8 cells/m^2 and 2x10^8 cells/m^2. Phase II patients will receive the dose level decided upon in Phase I.
56187497|NCT01430390|Biological|Biological/Genetically Modified T cells|Following completion of the chemotherapy, genetically modified T cells will be given intravenously at one of 3 dose levels. After the infusion patients will be monitored clinically and with serial blood and marrow evaluations to assess toxicity, therapeutic effects, and the in-vivo survival of the genetically modified T-cells. A fixed CAR EBV-CTL dose (3x106 EBV-CTLs/kg) which has been demonstrated to be the ideal manufacturing dose allowing for multiple infusions and potential for multiple patient treatments per cell line generated will be used for all patients on this trial. Cohorts will be determined separately but cohort 3 will not begin to accrue until cohort 2 has treated three (3) patients without a DLT. Each patient is eligible for up to three (3) infusions.
56187498|NCT01430390|Drug|Cyclophosphamide-based chemotherapy|Cyclophosphamide-based chemotherapy regimen will be the preferred conditioning chemotherapy prior to CAR T cell infusion for patients with CD19+ malignancy in cohort 1. Recommended chemotherapy regimen consists of single agent Cyclophosphamide at a dose of 3000 mg/m2/dose IV over 1 hour or 1500mg/m2/dose x 2 doses given daily over 1 hour given for 2 days (patients may received reduced dose of cyclophosphamide based on the clinical status of the patient at discretion of the treating physician and with written approval by the MSKCC PI of this study). Alternative cyclophosphamide or non-cyclophosphamide-based regimens based on the clinical status of the patient, disease burden, and likely-hood of response may be used at the discretion of the treating physician with written approval by MSKCC PI of the study. Conditioning chemotherapy will not be given prior to infusions # 2 and #3.
56308005|NCT05588440|Biological|ONCT-808|"A single infusion of ONCT-808 autologous CAR-T cell infusion will be administered intravenously~Phase 1: Dose Escalation with bridging therapy as needed~Phase 2: Patients with LBCL or MCL will be enrolled into two separate dose expansion cohorts."
56308006|NCT05588440|Drug|Bridging Therapy|Bridging therapy can be oral chemotherapy or IV radiotherapy/chemotherapy per institution's guidelines
56023551|NCT05577091|Genetic|Inverse correlated dual-target, truncated IL7Ra modified CAR -expressing autologous T-lymphocytes.|"Intratumorally administrate via Ommaya reservoir.~Dose level 0: 1×10^7 autologous Tris-CAR-T cells, one dose, 2 patients.~Dose level 1: 1×10^8/ 5×10^6autologous Tris-CAR-T cells, one dose, 2 patients. The dose of Dose level 1 will refer to the adverse effect of Dose level 0. When 1 of the 2 patients in the Dose level 0 had dose-related toxic side effects, 2 patients in the Dose level 1 could be enrolled. When dose-related side effects occurred in 2 patients in the Dose level 0, the dose should be reduced to 5×10^6cells to continue enrollment.~Dose level2: 5×10^7 autologous Tris-CAR-T cells, weekly administered, maximum 8 weeks, 4 patients. If the results of Dose level 0 and 1 suggested that dose-related toxic side effects could be occurred in the 1×10^7cells dose, the researcher would re-determine the dosage of the multidose clinical exploration study."
56439851|NCT03754764|Biological|Specificity CD38 CAR-T Cells|1) Biological: Specificity CD38 CAR-T Cells 2) Day 0: 1-5x10e6/kg total dose .3) Other: Laboratory Biomarker Analysis
56188282|NCT04723901|Biological|Dual target CAR-T cell therapy|CD19/CD22 dual target CAR-T cell therapy
56310408|NCT05172596|Biological|PHE885|Intravenous (IV) infusion
56598627|NCT05626322|Drug|Maplirpacept|Intravenous infusion
56598628|NCT05626322|Drug|Tafasitamab|Intravenous infusion
56598629|NCT05626322|Drug|Lenalidomide|Oral (by mouth)
56189276|NCT04655677|Biological|CD19/CD20-directed CAR-T cells|Autologous 2nd generation CD19/CD20-directed CAR-T cells, single infusion intravenously
