id|nct_id|role|name|affiliation
31207698|NCT04410900|Principal Investigator|Joshua A. Hill|Fred Hutch/University of Washington Cancer Consortium
31476727|NCT04119024|Principal Investigator|Anusha Kalbasi|UCLA / Jonsson Comprehensive Cancer Center
31270092|NCT05620342|Principal Investigator|Jared Weiss|jared_weiss@med.unc.edu
31477044|NCT04089215|Principal Investigator|Yuqin Song|Peking University Cancer Hospital & Institute
31540073|NCT03064269|Principal Investigator|Sheng-Li Xue, Ph.D|The First Affiliated Hospital of Soochow University
31626005|NCT03232619|Principal Investigator|Yunxiao Xu, MD|Second Xiangya Hospital of Central South University
31374935|NCT04666168|Principal Investigator|Baoen Shan, PhD & MD|Hebei Medical University Fourth Hospital
31374936|NCT04666168|Principal Investigator|Lihong Liu, PhD & MD|Hebei Medical University Fourth Hospital
31208237|NCT05650749|Principal Investigator|Lisa Wray, MD|Children's Hospital of Philadelphia
31374956|NCT04665076|Principal Investigator|Baoen Shan, PhD & MD|Hebei Medical University Fourth Hospital
31208298|NCT05480449|Principal Investigator|Allison Barz Leahy, MD|Children's Hospital of Philadelphia
31208299|NCT05480449|Study Director|Stephan Grupp, MD,PhD|Children's Hospital of Philadelphia
31374957|NCT04665076|Principal Investigator|Lihong Liu, PhD & MD|Hebei Medical University Fourth Hospital
31270505|NCT05032820|Study Director|Marcelo C Pasquini, MD, MS|Medical College of Wisconsin
31270506|NCT05032820|Principal Investigator|Alfred Garfall, MD|University of Pennsylvannia
31270507|NCT05032820|Principal Investigator|Sergio Giralt, MD|Memorial Sloan Kettering Cancer Center
31208459|NCT04789408|Study Director|Kite Study Director|Kite, A Gilead Company
31270598|NCT04855136|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31626052|NCT04792593|Principal Investigator|Peihua MD Lu, PhD|Hebei Yanda Ludaopei Hospital
31270623|NCT04792489|Study Director|Remi Kaleta|Miltenyi Biomedicine GmbH
31208531|NCT04318678|Principal Investigator|Swati Naik, MD|St. Jude Children's Research Hospital
31540540|NCT04903080|Study Chair|Meenakshi Hegde, MD|Baylor College of Medicine
31208532|NCT04318678|Principal Investigator|Paulina Velasquez, MD|St. Jude Children's Research Hospital
31208604|NCT03829540|Principal Investigator|Huda Salman, MD|Indiana University
31270792|NCT04467853|Principal Investigator|Jin Li, MD, PhD|Shanghai East Hospital
31540691|NCT03916679|Study Chair|Jianwei Zhou, M.D.|Second Affiliated Hospital, School of Medicine, Zhejiang University
31626103|NCT05473221|Principal Investigator|He Huang, MD|The first hospital affiliated Zhejiang University
31478993|NCT05590221|Principal Investigator|Yuqin Song, PhD|Peking University Cancer Hospital & Institute
31209170|NCT01460901|Principal Investigator|Doug Myers, MD|Children's Mercy Hospital Kansas City
31209187|NCT04888468|Principal Investigator|Jianfeng Zhou, M.D. Ph.D|Tongji Hospital affiliated to Tongji Medical College of Huazhong University of Science and Technology
31209205|NCT04556266|Principal Investigator|Miguel-Angel Perales, MD|Memorial Sloan Kettering Cancer Center
31541399|NCT05275062|Principal Investigator|Jianming Xu, M.D.|Chinese PLA General Hospital
31271253|NCT02690545|Principal Investigator|Anne Beaven, MD|Director, UNC Lineberger Lymphoma Program
31479808|NCT05546723|Principal Investigator|Leland Metheny, MD|University Hospitals Seidman Cancer Center
31542636|NCT05181501|Principal Investigator|Lijuan Chen, M.D.|The First Affiliated Hospital with Nanjing Medical University
31542637|NCT05181501|Principal Investigator|Bing Chen, M.D.|The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School
31479897|NCT05388695|Principal Investigator|Liang Huang, PhD&MD|Tongji Hospital
31479921|NCT05312801|Principal Investigator|Paolo F. Caimi, MD|Cleveland Clinic Taussig Cancer Institute
31626275|NCT04745559|Principal Investigator|Frederick Locke, MD|Moffitt Cancer Center
31626308|NCT05554575|Principal Investigator|Weiping Liu, MD, PhD|Peking University Cancer Hospital & Institute
31626309|NCT01318317|Principal Investigator|Leslie L Popplewell|City of Hope Medical Center
31271685|NCT05577091|Study Chair|Tao Jiang, Prof.|Beijing Tiantan Hospital
31626411|NCT05538195|Principal Investigator|Ning Li, MD|Henan Cancer Hospital
31543400|NCT03370198|Principal Investigator|Frédéric Lehmann, MD|Celyad Oncology SA
31543592|NCT03356782|Principal Investigator|Lung-Ji Chang, PhD|Shenzhen Geno-Immune Medical Institute
31543645|NCT05239689|Principal Investigator|He Huang, PhD|First Affiliated Hospital of Zhejiang University
31210699|NCT02992834|Principal Investigator|Jingting Jiang, Professor|The First People's Hospital of Changzhou
31543824|NCT04503538|Principal Investigator|Rakhee Vaidya, MBBS|Wake Forest University Health Sciences
31375351|NCT04626739|Principal Investigator|Jianmin luo, PhD&MD|The Second Hospital of Hebei Medical University
31627271|NCT03173417|Principal Investigator|PEIHUA LU, MD|Hebei Yanda Ludaopei Hospital
31211027|NCT03159819|Principal Investigator|Xianbao Zhan, M.D.|Changhai Hospital
31480969|NCT02664363|Principal Investigator|David Ashley, MBBS, FRACP, PhD|Duke University Hospital
31480970|NCT02664363|Principal Investigator|Daniel Landi, MD|Duke University
31272371|NCT05312411|Principal Investigator|Catherine Albert, MD|Seattle Children's Hospital
31544664|NCT03840317|Principal Investigator|Peihua Lu, PhD&MD|Hebei Yanda Ludaopei Hospital
31272550|NCT04571138|Study Chair|Corinne Summers, MD|Seattle Children's Hospital
31627634|NCT04280133|Principal Investigator|Patrick C Johnson, MD|Massachusetts General Hospital
31481175|NCT03958656|Principal Investigator|James N Kochenderfer, M.D.|National Cancer Institute (NCI)
31272743|NCT03684889|Study Chair|Colleen Annesley, MD|Seattle Children's Hospital
31272809|NCT03330691|Study Chair|Colleen Annesley, MD|Seattle Children's Hospital
31272820|NCT03244306|Study Chair|Corinne Summers, MD|Seattle Children's Hospital
31272828|NCT03186118|Study Chair|Colleen Annesley, MD|Seattle Children's Hospital
31272921|NCT02028455|Study Chair|Colleen Annesley, MD|Seattle Children's Hospital
31272941|NCT01683279|Study Chair|Rebecca Gardner, MD|Seattle Children's Hospital
31628079|NCT05422521|Principal Investigator|Philippe VIAU|Centre Hospitalier Universitaire de Nice
31273152|NCT05651100|Study Chair|li xiangqun, doctor|Kecellitics Biotech Company Ltd
31211771|NCT03696784|Principal Investigator|Natalie Grover, MD|UNC Lineberger Comprehensive Cancer Center
31211930|NCT05312476|Study Chair|Depei Wu, M.D|The First Affiliated Hospital of Soochow University
31212002|NCT04088890|Principal Investigator|Matthew Frank, MD, PhD|Stanford University
31273376|NCT05416554|Principal Investigator|Brian Scott, MD|Stanford University
31545553|NCT03811457|Study Director|Cheng-Yi Kuo, PhD|UWELL Biopharma
31212209|NCT05381181|Principal Investigator|Yi Zhang, Prof.|The First Affiliated Hospital of Zhengzhou University
31545733|NCT05463640|Principal Investigator|He Huang, MD|The first hospital affiliated Zhejiang University
31629093|NCT03191773|Study Director|Ying Feng, MD|Second Affiliated Hospital of Guangzhou Medical University
31629094|NCT03191773|Study Director|Mingjun Wang, MD|Shenzhen Institute for Innovation and Translational Medicine
31545879|NCT03799913|Study Chair|Jianwei Zhou, M.D.|Zhejiang University
31629239|NCT03182803|Study Chair|Qijun Qian, Ph.D|Shanghai Cell Therapy Research Institute
31629240|NCT03182803|Study Chair|Huajun Jin, Ph.D|Shanghai Cell Therapy Research Institute
31629241|NCT03182803|Study Director|Zhiwei Zhang, Ph.D|Shanghai Cell Therapy Research Institute
31629242|NCT03182803|Study Director|Yan Sun|Shanghai Cell Therapy Research Institute
31629243|NCT03182803|Principal Investigator|Jiangtao Wang|Ningbo No.5 Hospital(Ningbo Cancer Hospital)
31212978|NCT04762485|Principal Investigator|xiaowen tang, Ph.D|The First Affiliated Hospital of Soochow University
31629571|NCT05385263|Principal Investigator|Ron Ram, Prof.|Sourasky Medical Center
31629648|NCT05085431|Principal Investigator|He Huang, PhD|First Affiliated Hospital of Zhejiang University
31213133|NCT03030976|Principal Investigator|Qiang Guo, Doctor|RenJi Hospital
31375723|NCT04610125|Principal Investigator|Lian Jiang, MD|Hebei Medical University Fourth Hospital
31482651|NCT03851146|Principal Investigator|Ben Solomon|Peter MacCallum Cancer Centre, Australia
31630009|NCT04846439|Principal Investigator|Haiping Dai, Ph.D|The First Affiliated Hospital of Soochow University
31275340|NCT02650999|Principal Investigator|Stephen Schuster, MD|Abramson Cancer Center at Penn Medicine
31630053|NCT02659943|Principal Investigator|James N Kochenderfer, M.D.|National Cancer Institute (NCI)
31275498|NCT05436223|Principal Investigator|Peng Liu, M.D. & Ph.D.|Shanghai Zhongshan Hospital
31630222|NCT05017883|Principal Investigator|Xingbing Wang|No.1, Swan Lake Road, new administrative and Cultural District, Hefei City, Anhui Province
31630940|NCT05131763|Study Director|kuaile zhao, doctor|Fudan University
31630941|NCT05131763|Study Director|Changchun Cai, doctor|Xunyang Changchun Shihua Hospital
31630962|NCT05097443|Principal Investigator|Xin Wang, PhD|Shandong Provincial Hospital
31213905|NCT03602157|Principal Investigator|Natalie Grover, MD|UNC Lineberger Comprehensive Cancer Center
31213931|NCT03049449|Principal Investigator|James N Kochenderfer, M.D.|National Cancer Institute (NCI)
31631485|NCT05302037|Principal Investigator|Raghav Sundar|National University Health System (NUHS)
31631486|NCT05302037|Study Director|Jieming Zeng, Dr|CytoMed Therapeutics Pte Ltd
31275809|NCT04186520|Principal Investigator|Nirav Shah, MD|Medical College of Wisconsin
31214226|NCT05164770|Principal Investigator|Xin Wang, PhD|Shandong Provincial Hospital
31275954|NCT05349266|Principal Investigator|He Huang, Doctor|First hospital affiliated Zhejiang University
31275969|NCT05336383|Principal Investigator|Penny Fang, MD|M.D. Anderson Cancer Center
31276123|NCT04336501|Principal Investigator|xiang yu zhao, MD|Peking University people's hospita
31547678|NCT03198052|Principal Investigator|Zhenfeng Zhang, MD,PhD|Second Affiliated Hospital of Guangzhou Medical University
31376043|NCT04594135|Principal Investigator|Hongyu Zhang, MD/PhD|Peking University Shenzhen Hospital, China
31632707|NCT05633615|Principal Investigator|Brian T Hess|SWOG Cancer Research Network
31632716|NCT05587543|Principal Investigator|Dongmei Ji, Doctorate|Fudan University
31632954|NCT02442297|Principal Investigator|Nabil M Ahmed, MD|Baylor College of Medicine - Texas Children's Hospital
31632955|NCT02442297|Principal Investigator|Shoba Navai, MD|Baylor College of Medicine - Texas Children's Hospital
31632956|NCT02442297|Principal Investigator|Meenakshi Hegde, MD|Baylor College of Medicine - Texas Children's Hospital
31215658|NCT03126864|Principal Investigator|William G. Wierda, MD, PHD, BS|M.D. Anderson Cancer Center
31376133|NCT04213469|Principal Investigator|He Huang, Prof|the First Affliated Hospital, Zhejiang University
31633534|NCT05623488|Principal Investigator|Julia Tchou, MD, PhD|University of Pennsylvania
31633612|NCT05457010|Study Chair|Tim Welliver, MD, PhD|Arcellx, Inc.
31633615|NCT05454241|Principal Investigator|Ying Wang, Dr.|Hematology Hospital, Chinese Academy of Medical Sciences
31633622|NCT05432635|Principal Investigator|Alex Herrera|City of Hope Medical Center
31549050|NCT03207178|Principal Investigator|Shengqin Ye, M.D.|Shanghai Longyao Biotechnology Inc., Ltd.
31633811|NCT04877613|Principal Investigator|Roger Cohen, MD|University of Pennsylvania
31633904|NCT04499339|Study Director|Prof. Michael Hudecek|University Hospital Wuerzburg
31484779|NCT04007978|Principal Investigator|Heng Mei, M.D., Ph.D|Wuhan Union Hospital, China
31633909|NCT04484012|Principal Investigator|Lihua E Budde|City of Hope Comprehensive Cancer Center
31216114|NCT01583686|Principal Investigator|Steven A Rosenberg, M.D.|National Cancer Institute (NCI)
31278747|NCT05531708|Principal Investigator|Zhiguo Long|Shanghai Pudong Hospital
31278760|NCT05513612|Principal Investigator|Zhiguo Long|Shanghai Pudong Hospital
31634124|NCT03585764|Principal Investigator|Payal D Shah, MD|University of Pennsylvania
31634139|NCT03549442|Principal Investigator|Alfred Garfall, MD|University of Pennsylvania
31549336|NCT03118180|Principal Investigator|He Huang, Dr|Zhejiang University
31634181|NCT03288493|Study Director|Rajesh Belani, M.D.|Sponsor Executive Medical Director
31634219|NCT03054298|Principal Investigator|Janos L Tanyi, MD, PhD|University of Pennaylvania
31634228|NCT02935543|Principal Investigator|Noelle Frey, MD|University of Pennsylvania
31634292|NCT02277522|Principal Investigator|Jakub Svoboda, MD|Abramson Cancer Center at Penn Medicine
31634300|NCT02030847|Principal Investigator|Noelle Frey, MD|Abramson Cancer Center at Penn Medicine
31634311|NCT01837602|Principal Investigator|Julia Tchou, MD|Abramson Cancer Center at Penn Medicine
31216465|NCT03366324|Principal Investigator|YU HU, M.D., Ph.D|Institute of Hematology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology
31550093|NCT05008575|Principal Investigator|xi zhang, MD/PhD|Department of Hematology, Xinqiao Hospital
31550346|NCT03361748|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31635426|NCT04981691|Principal Investigator|Jun Zhang, MD, PhD|Ruijin Hospital
31635573|NCT05106907|Study Chair|Zhengyu Li, Ph.D|The Affiliated Hospital of Xuzhou Medical University
31281425|NCT05190653|Principal Investigator|Reanne Booker, PhD(c)|AHS Calgary
31218074|NCT05341492|Study Chair|Luo min, PhD|Guangzhou Bio-gene Technology Co., Ltd
31218089|NCT03310008|Principal Investigator|Frédéric Lehmann, MD|Celyad Oncology SA
31218465|NCT03029338|Principal Investigator|Dehui Zou, Dr.|Institute of Hematology & Blood Diseases Hospital
31551454|NCT03114670|Study Director|Hu Chen, M.D., Ph.D.|Affiliated Hospital to Academy of Military Medical Sciences, China
31551474|NCT04440436|Principal Investigator|Yuqin Song, MD, PhD|Peking University Cancer Hospital & Institute
31282214|NCT04608487|Principal Investigator|Caron Jacobson, MD|Dana-Farber Cancer Institute
31282297|NCT03676504|Principal Investigator|Prof. Dr. Michael Schmitt|University Hospital Heidelberg, Department V
31282298|NCT03676504|Principal Investigator|Prof. Dr. Andreas Kulozik|University Hospital Heidelberg, University Medical Center for Children and Adolescents
31219272|NCT05023707|Principal Investigator|Xiaowen Tang, Ph.D|The First Affiliated Hospital of Soochow University
31637356|NCT05043571|Principal Investigator|Allen Yeoh, M.D|National University Hospital, Singapore
31637357|NCT05043571|Study Director|Dario Campana, M.D, PhD|National University of Singapore
31637496|NCT05030779|Principal Investigator|He Huang, PhD|First Affiliated Hospital of Zhejiang University
31282902|NCT04562298|Principal Investigator|Ye Guo, PhD|East Clinical Center of Oncology
31282903|NCT04562298|Principal Investigator|Yu Kang, PhD|Obstetrics & Gynecology Hospital of Fudan University
31637785|NCT05290155|Principal Investigator|Xianmin G Song, M.D.|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine
31552980|NCT03726515|Principal Investigator|Donald O'Rourke, MD|Abramson Cancer Center at Penn Medicine
31637956|NCT05281809|Principal Investigator|John Lister, MD|AHN
31637989|NCT04796441|Principal Investigator|Peihua MD Lu, PhD|Hebei Yanda Ludaopei Hospital
31637996|NCT04796675|Principal Investigator|Yu Hu|Wuhan Union Hospital, China
31638000|NCT04803929|Principal Investigator|Jianping Lan|Zhejiang Provincial People's Hospital
31283083|NCT01593696|Principal Investigator|Nirali N Shah, M.D.|National Cancer Institute (NCI)
31219877|NCT03291444|Principal Investigator|Yuhua Li, M.D, Ph.D|Zhujiang Hospital
31553764|NCT04097301|Principal Investigator|Fabio Ciceri, MD|IRCCS San Raffaele
31638569|NCT05412329|Principal Investigator|Juan Du, MD|Shanghai Changzheng Hospital
31639013|NCT04951141|Principal Investigator|Yin ying Lu, M.D.|Beijing 302 Hospital
31554383|NCT03706547|Principal Investigator|Peng Liu, M.D. & Ph.D.|Shanghai Zhongshan Hospital
31639095|NCT03060343|Principal Investigator|Yu Fenglei, MD, PhD|Central South University
31639096|NCT03060343|Principal Investigator|Li Peng, PhD|Hunan Zhaotai Yongren Medical Innovation Co. Ltd.
31554608|NCT05309213|Principal Investigator|Qian Jiang|Peking University People's Hospital
31488476|NCT05225831|Principal Investigator|Peihua Lu, PhD&MD|Beijing Lu Daopei Hospital
31554747|NCT01192464|Principal Investigator|Helen E Heslop, MD|Baylor College of Medicine/Center for Cell and Gene Therapy
31640206|NCT04812691|Principal Investigator|Weili Zhao|Ruijin Hospital
31284248|NCT03696030|Principal Investigator|Jana L Portnow|City of Hope Medical Center
31489039|NCT05393986|Principal Investigator|Lin Shen, MD,phD|Department of GI Oncology, Peking University Cancer Hospita
31555549|NCT03671460|Principal Investigator|Peihua Lu, PhD,MD|Hebei Yanda Ludaopei Hospital
31640342|NCT04134325|Principal Investigator|Natalie Grover, MD|UNC Lineberger Comprehensive Cancer Center
31284348|NCT03774654|Principal Investigator|Carlos Ramos, MD|Baylor College of Medicine
31221691|NCT04877080|Principal Investigator|Sanbin Wang, Doctor|920th Hospital of Joint Logistics Support Force of People's Liberation Army of China
31221693|NCT05381662|Study Chair|Depei Wu, Ph.D|The First Affiliated Hospital of Soochow University
31555766|NCT03464916|Principal Investigator|Edward Stadtmauer, MD|University of Pennsylvania
31489297|NCT05458297|Study Director|Medical Director|Merck Sharp & Dohme LLC
31489311|NCT05377827|Principal Investigator|Geoffrey Uy, M.D.|Washington University School of Medicine
31489313|NCT05353530|Principal Investigator|Ashley Ghiaseddin, MD|University of Florida
31489351|NCT05081479|Principal Investigator|Gunjan Shah, MD|Memorial Sloan Kettering Cancer Center
31377681|NCT04546906|Principal Investigator|Peihua Lu, PhD&MD|Hebei Yanda Ludaopei Hospital
31640863|NCT04892277|Principal Investigator|Saad J Kenderian|Mayo Clinic in Rochester
31556106|NCT03758417|Study Director|Janssen Research&Development,LLC Clinical Trail|Janssen Research & Development, LLC
31556208|NCT03318861|Study Director|Kite Study Director|Kite, A Gilead Company
31556266|NCT05420493|Principal Investigator|Jianfeng Bi, M.D|The Second People's Hospital of Shandong Province
31641047|NCT05528887|Principal Investigator|Ying Lu|The Affiliated People's Hospital of Ningbo University
31489546|NCT03144583|Principal Investigator|Julio Delgado González, PhD MD|Hospital Clinic of Barcelona
31641105|NCT05523661|Principal Investigator|Xianmin Song, M.D.|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine
31222539|NCT05248048|Principal Investigator|Xuehu Xu, MD|The Third Affiliated Hospital of Guangzhou Medical University
31489759|NCT04696432|Principal Investigator|Lanfang Li, PhD&MD|Tianjin Medical University Cancer Institute & Hosipital
31489765|NCT04648046|Principal Investigator|Steven Deeks, MD|University of California, San Francisco
31489792|NCT04557436|Principal Investigator|Waseem Qasim, Prof|UCL GOSH Institute of Child Health
31489793|NCT04557436|Study Director|Paul Veys, PhD, MD|Great Ormond Street Hospital
31489794|NCT04557436|Study Director|Kanchan Rao, PhD, MD|Great Ormond Street Hospital
31489795|NCT04557436|Study Director|Ajay Vora, Prof, MD|Great Ormond Street Hospital
31489806|NCT04510051|Principal Investigator|Leo D Wang|City of Hope Medical Center
31641488|NCT05478343|Principal Investigator|Xiaojing Yan, M.D.|First Hospital of China Medical University
31641787|NCT05480501|Principal Investigator|Xiaojing Yan, M.D.|Hospital of China Medical University
31557207|NCT04384393|Principal Investigator|Xingbing Wang|The First Affiliated Hospital of USTC (Anhui Provincial Hospital)
31641820|NCT05472857|Principal Investigator|Luo Tianhang, MD|Changhai Hospital
31641860|NCT05477927|Principal Investigator|YongShen Wang, Prof.|West China Hospital
31285351|NCT04390542|Principal Investigator|Sara Douglas, PhD, RN|Case Western Reserve University
31557344|NCT04176913|Principal Investigator|Wei Xu, PhD& MD|The first Affiliated Hospital Of Nanjing Medical University(JiangSu Province Hospital)
31557345|NCT04176913|Principal Investigator|Kaiyang Ding, PhD& MD|Anhui Provincial Cancer Hospital
31557346|NCT04176913|Principal Investigator|Kai Hu, PhD& MD|Beijing Boren Hospital
31642417|NCT04973527|Principal Investigator|Kai Hu, MD/PhD|Beijing Boren Hospital
31642742|NCT05421663|Principal Investigator|John Baird, M.D.|City of Hope Medical Center
31490652|NCT03502577|Principal Investigator|Andrew Cowan|Fred Hutch/University of Washington Cancer Consortium
31224012|NCT04268706|Principal Investigator|Helen Heslop, MD|Baylor College of Medicine
31558288|NCT01355965|Principal Investigator|Andrew Haas, MD, PhD|Abramson Cancer Center at Penn Medicine
31643702|NCT04219319|Principal Investigator|Wei Xu, PhD& MD|The first Affiliated Hospital Of Nanjing Medical University(JiangSu Province Hospital)
31643703|NCT04219319|Principal Investigator|Kaiyang Ding, PhD& MD|Anhui Provincial Cancer Hospital
31643704|NCT04219319|Principal Investigator|Guangxun Gao, PhD& MD|The First Affiliated Hospital of the Air Force Medical University
31491068|NCT04014881|Principal Investigator|Heng Mei, M.D., Ph.D|Wuhan Union Hospital, China
31559168|NCT05665725|Principal Investigator|Timothy J Voorhees, MD, MSCR|Ohio State University Comprehensive Cancer Center
31559234|NCT05648019|Principal Investigator|Shui Yen Soh, MD|KK Women's and Children's Hospital
31559235|NCT05648019|Principal Investigator|Aloysius Ho, MD|Singapore General Hospital
31286896|NCT05256641|Principal Investigator|Caspian Oliai, MD|UCLA / Jonsson Comprehensive Cancer Center
31225585|NCT05108805|Principal Investigator|Olalekan Oluwole, MD|Vanderbilt-Ingram Cancer Center
31286953|NCT04735471|Study Director|Rose Lai, MD|Adicet Bio
31286960|NCT04661384|Principal Investigator|Lisa A Feldman|City of Hope Medical Center
31644888|NCT02348216|Study Director|Kite Study Director|Kite, A Gilead Company
31559704|NCT03605238|Study Director|Quangang Xu, PhD|Chinese PLA General Hospital
31559705|NCT03605238|Principal Investigator|Huanfen Zhou, PhD|Chinese PLA General Hospital
31560182|NCT04083495|Principal Investigator|Anne Beaven, MD|UNC Chapel Hill
31645538|NCT03994913|Principal Investigator|Jie Jin, Dr.|First Affiliated Hospital of Zhejiang University
31560201|NCT03873805|Principal Investigator|Tanya B Dorff|City of Hope Medical Center
31560217|NCT03648372|Study Director|Study Director|Takeda
31645680|NCT04136275|Principal Investigator|Matthew J. Frigault, MD|Massachusetts General Hospital
31287475|NCT05620680|Principal Investigator|Li Yu, Dr|Shenzhen University General Hospital
31226275|NCT03110640|Principal Investigator|Kang Yu, M.D.|First Affiliated Hospital of Wenzhou Medical University
31226352|NCT03393936|Principal Investigator|Tongyu Zhu|Shanghai Public Health Clinical Center
31492233|NCT05350787|Principal Investigator|He Huang, Doctor|The first hospital affiliated Zhejiang University
31226382|NCT05085444|Principal Investigator|He Huang, PhD|First Affiliated Hospital of Zhejiang University
31560398|NCT02132624|Study Director|Angelica Loskog, PhD|Uppsala University
31560399|NCT02132624|Principal Investigator|Gunilla Enblad, MD, PhD|Uppsala University Hospital
31560400|NCT02132624|Principal Investigator|Hans Hagberg, MD, PhD|Uppsala University Hospital
31560432|NCT05370547|Principal Investigator|Weidong Han, Ph.D|Biotherapeutic Department, Chinese PLA General Hospital
31560502|NCT02134262|Study Chair|Keiya Ozawa, MD, PhD|Division of Hematology, Department of Medicine, Center for Molecular Medicine, Division of Genetic Therapeutics, Center for Molecular Medicine, Division of Immuno-Gene & Cell Therapy (Takara Bio), Jichi Medical University
31226541|NCT04287660|Principal Investigator|Xiaowen Tang, Ph.D|The First Affiliated Hospital of Soochow University
31226574|NCT04270461|Study Director|Changchun Cai|Affiliated hospital of jiujiang university
31560697|NCT03579888|Principal Investigator|Partow Kebriaei|M.D. Anderson Cancer Center
31226713|NCT04088864|Principal Investigator|Liora Schultz, MD|Stanford University
31492564|NCT04008251|Principal Investigator|Heng Mei, M.D., Ph.D|Wuhan Union Hospital, China
31226807|NCT04007029|Principal Investigator|Sarah Larson, MD|UCLA / Jonsson Comprehensive Cancer Center
31646642|NCT03651128|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31561380|NCT03181126|Study Director|AbbVie Inc.|AbbVie
31561585|NCT05085418|Principal Investigator|He Huang, PhD|First Affiliated Hospital of Zhejiang University
31561609|NCT03068416|Principal Investigator|Gunilla Enblad, MD, PhD|Uppsala University Hospital, Dept of Oncology
31561882|NCT04443829|Study Chair|Claire Roddie|University College London Hospital
31647643|NCT04150913|Principal Investigator|Matt J Frigault, MD|Massachusetts General Hospital
31647911|NCT01454596|Principal Investigator|Steven A Rosenberg, M.D.|National Cancer Institute (NCI)
31647962|NCT02215967|Principal Investigator|James N Kochenderfer, M.D.|National Cancer Institute (NCI)
31603858|NCT04412174|Principal Investigator|Peihua Lu, PhD&MD|Hebei Yanda Ludaopei Hospital
31288830|NCT04526834|Principal Investigator|Sairah Ahmed|MD Anderson
31228183|NCT05066022|Principal Investigator|Chengcheng Fu, PhD|World Health Organization
31562597|NCT05020392|Principal Investigator|Yu Hu|Wuhan Union Hospital, China
31562610|NCT04881240|Principal Investigator|Aimee C. Talleur, MD|St. Jude Children's Research Hospital
31562611|NCT04881240|Principal Investigator|Stephen Gottschalk, MD|St. Jude Children's Research Hospital
31288869|NCT04257578|Principal Investigator|Ajay Gopal|Fred Hutch/University of Washington Cancer Consortium
31562667|NCT04512716|Principal Investigator|Mark B Geyer, MD|Memorial Sloan Kettering Cancer Center
31562733|NCT03938987|Principal Investigator|Dr. Michael P Chu, MD|Cross Cancer Institute
31228533|NCT04014894|Principal Investigator|Heng Mei, M.D., Ph.D|Wuhan Union Hospital, China
31649230|NCT04684472|Principal Investigator|liqun zou, phd|Sichuan University
31494573|NCT03980691|Principal Investigator|Weiping Cai, Bachelor|Guangzhou 8th People's Hospital China, Guangdong
31229602|NCT05066646|Principal Investigator|Lugui Qiu, MD, PhD|Institute of Hematology and Blood Diseases Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College
31229603|NCT05066646|Principal Investigator|Chunrui Li, MD, PhD|Tongji Hospital affiliated to Tongji Medical College of Huazhong University of Science & Technology
31564207|NCT03674463|Principal Investigator|Wan-Hong Zhao, MD, PhD|Second Affiliated Hospital of Xi'an Jiaotong University
31651929|NCT03240328|Principal Investigator|Cai Weiping, Bachelor|Guangzhou 8th People's Hospital
31652410|NCT04690192|Principal Investigator|Dehui Zou, Dr.|Institute of Hematology & Blood Diseases Hospital, CAMS & PUMC
31652459|NCT04049513|Principal Investigator|Robert Weinkove, MBBS, PhD|Te Whatu Ora Health New Zealand Capital Coast & Hutt Valley
31652539|NCT03103971|Principal Investigator|Jordan Gauthier|Fred Hutch/University of Washington Cancer Consortium
31565129|NCT00881920|Principal Investigator|Carlos Ramos, MD|Baylor College of Medicine - Texas Children's Hospital
31230911|NCT05063682|Principal Investigator|Kai Reinikainen, MD/PhD|Chembrain LTD
31230988|NCT05060796|Principal Investigator|Zhenfeng Zhang, MD, PHD|Second Affiliated Hospital of Guangzhou Medical University
31231371|NCT03407859|Principal Investigator|Yanjie He, Ph.D|Zhujiang Hospital
31231566|NCT04191941|Principal Investigator|Ming Zhou|Hunan Provincial People's Hospital
31565917|NCT05208853|Principal Investigator|Huang He, PhD|First Affiliated Hospital of Zhejiang University
31654188|NCT05483491|Principal Investigator|Christian S Hinrichs, MD|Rutgers Cancer Institute of New Jersey
31232243|NCT04249947|Study Director|Rajesh Belani, M.D.|Sponsor Executive Medical Director
31566661|NCT05106946|Study Chair|Zhenyu Li, Ph.D|The Affiliated Hospital of Xuzhou Medical University
31290470|NCT05464719|Principal Investigator|Paolo Strati, MD|M.D. Anderson Cancer Center
31290546|NCT05274451|Study Director|Heidi Gillenwater, MD|Lyell Immunopharma, Inc.
31290749|NCT04432506|Principal Investigator|Paolo Strati|M.D. Anderson Cancer Center
31290838|NCT04071366|Study Director|Peter Langmuir, MD|Incyte Corporation
31290925|NCT03435796|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31497174|NCT03980288|Principal Investigator|Tingbo Liang|The First Affiliated Hospital, Zhejiang University
31291071|NCT01087294|Principal Investigator|James N Kochenderfer, M.D.|National Cancer Institute (NCI)
31232883|NCT03018093|Principal Investigator|Li Yu|Chinese PLA General Hospital
