id|nct_id|ctgov_group_code|result_type|title|description
59291719|NCT01218867|OG004|Outcome|Cohort 5 - 1x10(8) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291720|NCT01218867|OG005|Outcome|Cohort 6 - 3x10(8) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291721|NCT01218867|OG006|Outcome|Cohort 7 - 1x10(9) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291722|NCT01218867|OG007|Outcome|Cohort 8 - 1x10(9) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291723|NCT01218867|OG008|Outcome|Cohort 9 - 3x10(9) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291724|NCT01218867|OG009|Outcome|Cohort 10 - 1x10(10) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291725|NCT01218867|OG010|Outcome|Cohort 11 - 3x10(10) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291726|NCT01218867|OG000|Outcome|Cohort 1 - 1 x 10(6) Cells (High Dose IL-2)|"Anti-vascular endothelial growth factor receptor 2(VEGFR2) chimeric T cell receptor (CAR) CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291727|NCT01218867|OG001|Outcome|Cohort 2 - 3 x 10(6) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291728|NCT01218867|OG002|Outcome|Cohort 3 - 1 x 10(7) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291729|NCT01218867|OG003|Outcome|Cohort 4 - 3 x 10(7) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291730|NCT01218867|OG004|Outcome|Cohort 5 - 1 x 10(8) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291731|NCT01218867|OG005|Outcome|Cohort 6 - 3 x 10(8) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291732|NCT01218867|OG006|Outcome|Cohort 7 - 1 x 10(9) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291733|NCT01218867|OG007|Outcome|Cohort 8 - 1 x 10(9) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291734|NCT01218867|OG008|Outcome|Cohort 9 - 3 x 10(9) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291735|NCT01218867|OG009|Outcome|Cohort 10 - 1 x 10(10) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291736|NCT01218867|OG010|Outcome|Cohort 11 - 3 x 10(10) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291737|NCT01218867|EG000|Reported Event|Cohort 1 (1x10(6) Cells (High Dose IL-2)|"Anti-vascular endothelial growth factor receptor 2 (VEGFR2) chimeric T cell receptor (CAR) CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291738|NCT01218867|EG001|Reported Event|Cohort 2 (3x10(6) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291739|NCT01218867|EG002|Reported Event|Cohort 3 (1x10(7) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291740|NCT01218867|EG003|Reported Event|Cohort 4 (3x10(7) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291741|NCT01218867|EG004|Reported Event|Cohort 5 (1x10(8) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291742|NCT01218867|EG005|Reported Event|Cohort 6 (1x10(8) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291743|NCT01218867|EG006|Reported Event|Cohort 7 (1x10(9) Cells (High Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and high dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 720,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291744|NCT01218867|EG007|Reported Event|Cohort 8 (1x10(9) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291745|NCT01218867|EG008|Reported Event|Cohort 9 (3x10(9) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291746|NCT01218867|EG009|Reported Event|Cohort 10 (1x10(10) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59291747|NCT01218867|EG010|Reported Event|Cohort 11 (3x10(10) Cells (Low Dose IL-2)|"Anti-VEGFR2 CAR CD8 plus PBL: Patients will receive non-myeloablative lymphodepleting preparative regimen consisting of cyclophosphamide and fludarabine followed by the administration of anti-VEGFR CAR CD8+ PBL and low dose aldesleukin. On day 0, cells will be infused in the Patient Care Unit over 20-30 minutes (Phase 1: 10e6- 3x10e10 cells and Phase 2: maximum tolerated dose of cells from Phase 1)~Cyclophosphamide: Cyclophosphamide 60 mg/kg/day X 2 days IV in 250 ml D5W with mesna 15 mg/kg/day X 2 days over 1 hr~Aldesleukin: Aldesleukin (based on total body weight) will be administered at a dose of 72,000 IU/kg as an intravenous bolus over a 15 minute period approximately every eight hours (+/- 1 hour) beginning within 24 hours of the cell infusion and continuing for up to 5 days (maximum 15 doses)~Fludarabine: Fludarabine 25 mg/m2/day IVPB daily over 30 minutes for 5 days"
59323464|NCT03624036|BG000|Baseline|First Stage Cohort 1: 1 x 10^6 Anti-CD19 CAR T Cells/kg|Participants with r/r CLL received conditioning chemotherapy (fludarabine 30 mg/m^2/day over 30 minutes and cyclophosphamide 500 mg/m^2/day over 30-60 minutes) administered IV on Days -5 to -3 with 2 rest days, followed by single infusion of brexucabtagene autoleucel 1 x 10^6 anti-CD19 CAR T cells/kg administered IV on Day 0.
59323465|NCT03624036|BG001|Baseline|First Stage Cohort 2: 2 x 10^6 Anti-CD19 CAR T Cells/kg|Participants with r/r CLL received conditioning chemotherapy (fludarabine 30 mg/m^2/day over 30 minutes and cyclophosphamide 500 mg/m^2/day over 30-60 minutes) administered IV on Days -5 to -3 with 2 rest days, followed by single infusion of brexucabtagene autoleucel 2 x 10^6 anti-CD19 CAR T cells/kg administered IV on Day 0.
