id|nct_id|allocation|intervention_model|observational_model|primary_purpose|time_perspective|masking|masking_description|intervention_model_description|subject_masked|caregiver_masked|investigator_masked|outcomes_assessor_masked
32749737|NCT04162340|N/A|Sequential Assignment||Treatment||None (Open Label)||Dose escalation phase: CD4 CAR T cells transduced with a lentiviral vector to express CD4 chimeric receptor domain on T cells with an escalation approach, 2e6 to 5e6 CAR-T cells/kg||||
32928214|NCT03076437|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32749855|NCT03999697|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32691153|NCT04638270|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32823312|NCT03751293|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32749964|NCT05263817|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32691332|NCT03455972|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32929658|NCT05179603|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32929682|NCT03283631|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32691580|NCT04627740|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32691616|NCT04626765|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32691624|NCT04626726|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32929807|NCT03267173|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32691748|NCT02903810|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32929887|NCT03258047|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32930026|NCT04966143|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32930697|NCT04430595|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32930897|NCT04864821|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32692122|NCT04890236|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32561322|NCT03029273|N/A|Single Group Assignment||Treatment||None (Open Label)||"One arm, open label, dose escalation, single dose phase I study of safety and tolerability.~NYESO-1 TCR-T cell are prepared via lentiviral infection. DLT was administered in a dose escalation test according to the 3 + 3 design. Seven days prior to infusion of TCR-T cell, subjects receive cytoreductive chemotherapy with cyclophosphamide (250-500mg/m2/day) plus fludarabine (25mg/m2/day) for 3 days.~Patients, who receive an infusion of TAEST16001, will remain in the hospital to be monitored for adverse events until they have recovered from the treatment.~Patients will have frequent follow-up visit to monitor the persistence of modified T cells and efficacy of the treatment."||||
32692418|NCT04601181|N/A|Single Group Assignment||Treatment||None (Open Label)||Sequential Assignment||||
32692480|NCT04599543|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32823789|NCT04077866|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32931429|NCT04853277|N/A|Single Group Assignment||Prevention||None (Open Label)||||||
32750575|NCT02617134|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32931790|NCT03232619|Randomized|Parallel Assignment||Treatment||None (Open Label)||Enrolled patients will receive CD19-CART cell immunotherapy.||||
32931840|NCT04792593|N/A|Single Group Assignment||Treatment||None (Open Label)|Open Label|Single Group Assignment||||
32931909|NCT05473221|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32932085|NCT04745559|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32750867|NCT04156178|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32932118|NCT05554575|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32932120|NCT01318317|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32932133|NCT04325841|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32932270|NCT05538195|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32561655|NCT04499573|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32692810|NCT04603872|Randomized|Parallel Assignment||Treatment||Single|||t|||
32692826|NCT04626908|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32942654|NCT05106907|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32692832|NCT04626752|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32933154|NCT05515185|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32933180|NCT05514327|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32933272|NCT03173417|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32751358|NCT04151186|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32693169|NCT04617704|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32933629|NCT04280133|Randomized|Parallel Assignment||Supportive Care||None (Open Label)||||||
32562078|NCT04351022|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32562164|NCT04835519|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32693558|NCT04595162|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32934140|NCT05422521|N/A|Single Group Assignment||Basic Science||None (Open Label)||||||
32751886|NCT02624258|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32824283|NCT05268172|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32694359|NCT04609241|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32935201|NCT03191773|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32935397|NCT03182803|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32935721|NCT05385263|N/A|Single Group Assignment||Treatment||None (Open Label)||All patients enrolled to this study with DLBCL in SD/PD at time of lymphodepletion will be given nivolumab ( 3mg/kg IV) on day +5 Patients with CAR-T expansion<100 cells/microL on day +7 will be given 1 additional dose of nivolumab (3mg/kg IV) on day +19 (two weeks after first dose of nivolumab).||||
32935800|NCT05085431|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32694994|NCT04572308|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32936205|NCT04846439|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32936258|NCT02659943|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32695343|NCT04991948|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32752368|NCT04182581|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32936448|NCT05017883|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32695554|NCT04546893|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32695618|NCT04539444|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32563180|NCT02959151|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32695875|NCT04532268|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32563291|NCT05362331|N/A|Single Group Assignment||Health Services Research||None (Open Label)||||||
32696071|NCT04553393|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32696213|NCT04550663|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32752612|NCT02672501|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32563821|NCT04827745|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||"Cohort A: Subjects with R/R CD19-positive MPAL~CohortB: Subjects with CD19-positive MPAL in complete remission and detectable MRD"||||
32937293|NCT05131763|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32937325|NCT05097443|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32563929|NCT02445222|N/A|Single Group Assignment||Other||None (Open Label)||||||
32563968|NCT02976857|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32564049|NCT04003649|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32696676|NCT04537442|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32564135|NCT02975687|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32696865|NCT04534634|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32937839|NCT03090659|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32937953|NCT05302037|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32564615|NCT03430011|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32697709|NCT03853616|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32753117|NCT02644655|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32565736|NCT04740203|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32939385|NCT05633615|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32939394|NCT05587543|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||CAR-T、TCR-T||||
32565827|NCT00586391|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32565974|NCT05445011|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32939636|NCT02442297|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32753436|NCT04160195|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32566393|NCT05326243|N/A|Single Group Assignment||Treatment||None (Open Label)||"This study is a multiple-center, non-randomized, open-label, phase 1/2 study. Lymphodepletion chemotherapy (intravenous infusion of fludarabine plus cyclophosphamide will be administered for 3 consecutive days before the day of PL001 dosing (Day 0) and should take place within Day -5 to Day -3 (a safe window for a small subset of patients will be D -7 to D -3). This study will test two dose levels of PL001, dose level 1 and dose level 2. In Phase 1, doses will be tested in the modified 3 + 3 design initiating with dose level 1. The primary objective of Phase 1 is to assess the safety of PL001 and find the recommended phase 2 dose. Phase 2 expansion cohort will receive PL001 at the recommended dose determined in Phase 1. Efficacy evaluations using computed tomography (CT) and positron emission tomography (PET) will be performed at 1, 3, 6, 9, and 12 months."||||
32940323|NCT05623488|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32566934|NCT03019055|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||"The study is divided into two phases. Phase 1 and Phase 1b. Phase 1: consists of 2 cohorts; dose escalation and dose expansion. The CAR-T cells were given over 2 days.~In the phase 1 portion, there will be a dose escalation cohort to determine the safe CAR-20/19-T cell dose in patients with CLL/SLL and NHL. Once the desired dose has been identified there will be a 6 patient dose expansion phase at the specified dose level.~Phase 1b: In the Phase 1b portion of the study, we will test the safety of unfractionated CAR-T cells utilizing the safe dose identified in the phase 1 portion (2.5 x 10^6 cells/kg)."||||
32940402|NCT05457010|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32940405|NCT05454241|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32940410|NCT05442580|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||"Three dose levels of CART-38 cells will be evaluated using a 3+3 dose escalation design in two parallel disease cohorts as follows:~Cohort A: Relapsed/Refractory Acute Myeloid Leukemia (AML)~Cohort B: Multiple Myeloma (MM)"||||
32940417|NCT05432635|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32940648|NCT04877613|Non-Randomized|Sequential Assignment||Health Services Research||None (Open Label)||The is a Phase I dose finding study to determine the safety of CART-GFRa4 cells. Dose escalation and determination of maximum tolerated dose (MTD) will be based on the standard 3+3 design to explore 3 possible dose levels.||||
32940752|NCT04499339|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32940757|NCT04484012|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32941003|NCT03585764|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32941013|NCT03549442|Randomized|Parallel Assignment||Basic Science||None (Open Label)||Three separate phases. Phases A and C are non-randomized, Phase B is randomized||||
32941052|NCT03288493|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||Phase 1: open label, 3 + 3 design of dose-escalating cohorts Phase 2: open label, administered as a total dose||||
32941092|NCT03054298|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32941102|NCT02935543|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32941165|NCT02277522|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32700621|NCT04322292|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32941174|NCT02030847|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32941184|NCT01837602|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32700898|NCT01218867|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32753806|NCT05096234|N/A|Single Group Assignment||Diagnostic||None (Open Label)||||||
32701141|NCT04317885|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32568304|NCT05620342|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32568597|NCT05257083|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32568765|NCT05032820|N/A|Single Group Assignment||Treatment||None (Open Label)||Assess anti-B Cell Maturation Antigen(BCMA) chimeric antigen receptor (CAR) T-cells (bb2121) to improve post autologous hematopoietic cell transplant (HCT) responses among patients with multiple myeloma (MM).||||
32568787|NCT05000450|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32568865|NCT04855136|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32754242|NCT04153799|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32568887|NCT04792489|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32569047|NCT04467853|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32569181|NCT04093596|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32754652|NCT05574114|N/A|Sequential Assignment||Treatment||None (Open Label)||This is a single arm, Phase I trial designed to describe the feasibility and safety of a standardized, stage-adapted, split-course BRT regimen prior to standard of care, commercial anti-CD19 CAR T-cell therapy. This design incorporates a small early safety cohort with the option for a potential patient expansion cohort.||||
32701728|NCT02792114|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32754657|NCT05535855|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32569501|NCT02690545|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32754746|NCT05010564|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32754798|NCT04555551|N/A|Single Group Assignment||Treatment||None (Open Label)||This phase I trial will follow a standard 3-by-3 dose escalation design.||||
32569920|NCT05577091|N/A|Single Group Assignment||Treatment||None (Open Label)||Recipients with Ommaya reservoir implanted will be assigned to three courses. Arm A: Two patients, 1×10^7 autologous Tris-CAR-T, 1 dose. Arm B: Two patients 1×10^8 autologous Tris-CAR-T, 1 dose. Arm C: Two patients 5×10^7 autologous Tris-CAR-T, maximum 8 doses.||||
32573843|NCT02650999|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32570766|NCT05312411|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32570827|NCT05105152|N/A|Single Group Assignment||Treatment||None (Open Label)||Phase I open-label, dose-finding study employing the Bayesian optimal interval (BOIN) design||||
32570963|NCT04571138|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32570999|NCT04450069|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32755533|NCT05298995|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32571167|NCT03684889|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32571234|NCT03330691|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32571246|NCT03244306|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32571254|NCT03186118|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||Subjects are assessed during the parent study for total CD 19 load in bone marrow. Participants meeting eligibility criteria are transitioned into one of 3 arms in PLAT-03.||||
32571348|NCT02028455|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32571369|NCT01683279|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32571439|NCT03994705|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32702636|NCT04264039|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32571592|NCT05651100|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32571812|NCT05416554|N/A|Single Group Assignment||Supportive Care||None (Open Label)||||||
32757990|NCT04094766|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32702994|NCT04844866|Randomized|Parallel Assignment||Treatment||None (Open Label)||unblinded 1:1 randomization into IMP or SoC||||
32702998|NCT04815356|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32703032|NCT04483778|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32574018|NCT05436223|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32540207|NCT00085930|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32826709|NCT05239676|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32574354|NCT04186520|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32574493|NCT05349266|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32574504|NCT05336383|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32574565|NCT04337606|Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32758955|NCT05325801|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32574695|NCT04336501|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32759141|NCT02587689|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32943314|NCT04436029|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32943373|NCT05123209|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32759526|NCT02580747|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32705417|NCT02862028|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32705637|NCT05199961|N/A|Single Group Assignment||Supportive Care||None (Open Label)||A single cohort of up to 100 individuals receiving chimeric antigen receptor T cell therapy will be enrolled in the study, all of which will be enrolled in a 6-month digital health coaching program. Individuals will be enrolled at The Ohio State University Comprehensive Cancer Center.||||
32705792|NCT05654077|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32827389|NCT01109095|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32706400|NCT02782351|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32760972|NCT03740256|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32706449|NCT05340829|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32706509|NCT04975555|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32706547|NCT04226989|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32827880|NCT05371093|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32827882|NCT05364424|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32827969|NCT04989803|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32827991|NCT04897321|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32828094|NCT04196413|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32762304|NCT02631044|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32599168|NCT03098355|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32944552|NCT04429451|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32762987|NCT04067414||Sequential Assignment||Treatment||None (Open Label)||A treatment program will include lymphodepleting chemotherapy with fludarabine and cyclophosphamide (flu/cy) followed by single-dose of BZ019 administered intravenously (IV). A 3×3 dose escalation design of BZ019 will be adopted.||||
32707585|NCT04860817|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32763536|NCT04561557|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32708250|NCT05323201|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32944792|NCT05043571|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32765284|NCT00889954|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32765356|NCT04037566|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32765367|NCT02541370|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32944976|NCT05030779|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32829792|NCT03874897|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32829896|NCT03929107|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32708858|NCT04264078|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32767249|NCT05350852|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32767310|NCT03825718|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32830979|NCT05155189|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32831076|NCT00924326|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32768000|NCT05201781|N/A|Single Group Assignment||Other||None (Open Label)||||||
32945325|NCT05290155|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32831539|NCT03483688|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32709546|NCT04205838|N/A|Single Group Assignment||Prevention||None (Open Label)||||||
32527472|NCT04191941|N/A|Single Group Assignment||Treatment||None (Open Label)||Novel CAR-T Cell Therapy||||
32768707|NCT04008394|N/A|Single Group Assignment||Treatment||None (Open Label)||Single-center,Open,One-arm Clinical Study||||
32831927|NCT03716856|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32831960|NCT03902197|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32768848|NCT05277987|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32768997|NCT04048434|Randomized|Parallel Assignment||Treatment||Single|||t|||
32502672|NCT04410900|Non-Randomized|Parallel Assignment||Prevention||None (Open Label)||||||
32769281|NCT05306080|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32832271|NCT03881761|N/A|Single Group Assignment||Treatment||None (Open Label)||transfusion of CD19/CD20 bispecific CAR-T cells 24-72 hours after completion of FC regimen pretreatment||||
32502730|NCT04025216|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||Parallel arms with sequential dose escalation||||
32710093|NCT04844086|N/A|Single Group Assignment||Treatment||None (Open Label)||3+3 dose escalation||||
32945567|NCT05281809|N/A|Single Group Assignment||Treatment||None (Open Label)||administration of locally manufactured cd19-targeted CAR T-cells||||
32945611|NCT04796441|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32945618|NCT04796675|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32945622|NCT04803929|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32945648|NCT04785833|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32833007|NCT03711864|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32770772|NCT04003168|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32710582|NCT05252572|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32945829|NCT05199519|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32945855|NCT04790747|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32771692|NCT03573700|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32834067|NCT05470777|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32834323|NCT04257175|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32834416|NCT03931421|N/A|Single Group Assignment||Treatment||None (Open Label)|It's an open-label trial.|In this trial, T cells were seperated from refractory/relapsed multiple myeloma patients and engineered into BMCA-targeted CAR-T cells, and then transfused back into the patients for the treatment of their multiple myeloma.||||
32711142|NCT02846584|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32834445|NCT04823091|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32772383|NCT02547948|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32711231|NCT00902044|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32772398|NCT04010877|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32711346|NCT02842138|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32772714|NCT04119024|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32834845|NCT03814447|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32834863|NCT05164042|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32711615|NCT04156243|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32773010|NCT04089215|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32835012|NCT03815383|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32503294|NCT05650749|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32946029|NCT05474885|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32711847|NCT05016778|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32577055|NCT04816526|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32503367|NCT05480449|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32835698|NCT05176275|N/A|Single Group Assignment||Diagnostic||None (Open Label)||||||
32946161|NCT04433221|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32835821|NCT03790891|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32712154|NCT02822326|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32836032|NCT05438368|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32836049|NCT05234190|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32774515|NCT04085159|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32774549|NCT04696731|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32946279|NCT05412329|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32836289|NCT03706326|Randomized|Parallel Assignment||Treatment||Single|||t|||
32774768|NCT04004637|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32836500|NCT03064269|N/A|Single Group Assignment||Treatment||None (Open Label)|Open Label|||||
32774830|NCT05277753|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32503568|NCT04789408|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32774919|NCT05590221|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32775751|NCT05546723|N/A|Sequential Assignment||Treatment||None (Open Label)||Open label, dose escalation study with up to four dose levels of LMY-920. The maximum tolerated dose (MTD) of LMY-920 will be determined using dose-escalation 3+3 design.||||
32775827|NCT05388695|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32775855|NCT05312801|N/A|Sequential Assignment||Treatment||None (Open Label)||"Open label, dose escalation study.~Dose Levels~1 x 10 million BAFF+ CAR cells/kg~2 x 10 million BAFF+ CAR cells/kg~4 x 10 million BAFF+ CAR cells/kg~8 x 10 million BAFF+ CAR cells/kg"||||
32540321|NCT04766840|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32946551|NCT04977193|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32837013|NCT04903080|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||This study includes two groups: a safety cohort and a surgical cohort.||||
32577478|NCT05531708|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32577494|NCT05513612|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32837136|NCT03767725|N/A|Single Group Assignment||Treatment||None (Open Label)||Anti-BCMA or/and Anti-CD19 CAR Autologous T Cells||||
32837202|NCT03916679|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32776785|NCT02664363|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32503650|NCT04318678|N/A|Single Group Assignment||Treatment||None (Open Label)||Due to review of dose limiting toxicity.||||
32776989|NCT03958656|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32837581|NCT04697290|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32946867|NCT04951141|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32946962|NCT03060343|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32503732|NCT03829540|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32714070|NCT04204161|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32837837|NCT03289455|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
