id|nct_id|result_group_id|ctgov_group_code|period|reason|count|drop_withdraw_comment|reason_comment|count_units
31312997|NCT01865617|59570133|FG011|Overall Study|Lost to Follow-up|0|||
31312998|NCT01865617|59570134|FG012|Overall Study|Lost to Follow-up|0|||
31312999|NCT01865617|59570122|FG000|Overall Study|Withdrawal by Subject|1|||
31313000|NCT01865617|59570123|FG001|Overall Study|Withdrawal by Subject|0|||
31313001|NCT01865617|59570124|FG002|Overall Study|Withdrawal by Subject|0|||
31313002|NCT01865617|59570125|FG003|Overall Study|Withdrawal by Subject|0|||
31313003|NCT01865617|59570126|FG004|Overall Study|Withdrawal by Subject|0|||
31313004|NCT01865617|59570127|FG005|Overall Study|Withdrawal by Subject|0|||
31313005|NCT01865617|59570128|FG006|Overall Study|Withdrawal by Subject|0|||
31313006|NCT01865617|59570129|FG007|Overall Study|Withdrawal by Subject|0|||
31313007|NCT01865617|59570130|FG008|Overall Study|Withdrawal by Subject|0|||
31313008|NCT01865617|59570131|FG009|Overall Study|Withdrawal by Subject|0|||
31313009|NCT01865617|59570132|FG010|Overall Study|Withdrawal by Subject|0|||
31313010|NCT01865617|59570133|FG011|Overall Study|Withdrawal by Subject|0|||
31313011|NCT01865617|59570134|FG012|Overall Study|Withdrawal by Subject|0|||
31313012|NCT01865617|59570122|FG000|Overall Study|Patient proceeded to new therapy|0|||
31313013|NCT01865617|59570123|FG001|Overall Study|Patient proceeded to new therapy|0|||
31313014|NCT01865617|59570124|FG002|Overall Study|Patient proceeded to new therapy|0|||
31313015|NCT01865617|59570125|FG003|Overall Study|Patient proceeded to new therapy|0|||
31313016|NCT01865617|59570126|FG004|Overall Study|Patient proceeded to new therapy|2|||
31313017|NCT01865617|59570127|FG005|Overall Study|Patient proceeded to new therapy|0|||
31313018|NCT01865617|59570128|FG006|Overall Study|Patient proceeded to new therapy|0|||
31313019|NCT01865617|59570129|FG007|Overall Study|Patient proceeded to new therapy|0|||
31313020|NCT01865617|59570130|FG008|Overall Study|Patient proceeded to new therapy|0|||
31313021|NCT01865617|59570131|FG009|Overall Study|Patient proceeded to new therapy|0|||
31313022|NCT01865617|59570132|FG010|Overall Study|Patient proceeded to new therapy|0|||
31313023|NCT01865617|59570133|FG011|Overall Study|Patient proceeded to new therapy|0|||
31313024|NCT01865617|59570134|FG012|Overall Study|Patient proceeded to new therapy|0|||
31313025|NCT01865617|59570122|FG000|Overall Study|Other|0|||
31313026|NCT01865617|59570123|FG001|Overall Study|Other|0|||
31313027|NCT01865617|59570124|FG002|Overall Study|Other|0|||
31313028|NCT01865617|59570125|FG003|Overall Study|Other|0|||
31313029|NCT01865617|59570126|FG004|Overall Study|Other|0|||
31313030|NCT01865617|59570127|FG005|Overall Study|Other|0|||
31313031|NCT01865617|59570128|FG006|Overall Study|Other|1|||
31313032|NCT01865617|59570129|FG007|Overall Study|Other|0|||
31313033|NCT01865617|59570130|FG008|Overall Study|Other|0|||
31313034|NCT01865617|59570131|FG009|Overall Study|Other|0|||
31313035|NCT01865617|59570132|FG010|Overall Study|Other|0|||
31313036|NCT01865617|59570133|FG011|Overall Study|Other|0|||
31313037|NCT01865617|59570134|FG012|Overall Study|Other|0|||
31084818|NCT03624036|59323469|FG000|Overall Study|Still on Study|5|||
31084819|NCT03624036|59323470|FG001|Overall Study|Still on Study|1|||
31084820|NCT03624036|59323471|FG002|Overall Study|Still on Study|3|||
31084821|NCT03624036|59323472|FG003|Overall Study|Still on Study|3|||
31084822|NCT03624036|59323469|FG000|Overall Study|Death|1|||
31084823|NCT03624036|59323470|FG001|Overall Study|Death|2|||
31084824|NCT03624036|59323471|FG002|Overall Study|Death|0|||
31084825|NCT03624036|59323472|FG003|Overall Study|Death|0|||
31084826|NCT03624036|59323469|FG000|Overall Study|Enrolled but Never Treated|1|||
31084827|NCT03624036|59323470|FG001|Overall Study|Enrolled but Never Treated|0|||
31084828|NCT03624036|59323471|FG002|Overall Study|Enrolled but Never Treated|0|||
31084829|NCT03624036|59323472|FG003|Overall Study|Enrolled but Never Treated|0|||
31097524|NCT03483103|59336763|FG000|Pre-Treatment Phase|Other reasons|1|||
31097525|NCT03483103|59336763|FG000|Pre-Treatment Phase|No longer meets eligibility criteria|4|||
31097526|NCT03483103|59336763|FG000|Pre-Treatment Phase|Disease-related complications|1|||
31097527|NCT03483103|59336763|FG000|Pre-Treatment Phase|Death|5|||
31097528|NCT03483103|59336763|FG000|Treatment Phase|Withdrawal by Subject|6|||
31097529|NCT03483103|59336763|FG000|Treatment Phase|Other reasons|2|||
31097530|NCT03483103|59336763|FG000|Treatment Phase|Death|20|||
31097531|NCT03483103|59336763|FG000|Treatment Phase|Ongoing in study|26|||
31097532|NCT03483103|59336763|FG000|Treatment Phase|Did not receive either JAR017 or nonconforming product|1|||
31097533|NCT03483103|59336763|FG000|Treatment Phase|Received nonconforming product|1|||
31119388|NCT04160195|59359961|FG000|Overall Study|Principal investigator stopped study due to instability of chimeric antigen receptor gene.|1|||
31119389|NCT04160195|59359962|FG001|Overall Study|Principal investigator stopped study due to instability of chimeric antigen receptor gene.|0|||
31323745|NCT02659943|59581599|FG000|Overall Study|Switched to alternative treatment|1|||
31323746|NCT02659943|59581600|FG001|Overall Study|Switched to alternative treatment|1|||
31323747|NCT02659943|59581601|FG002|Overall Study|Switched to alternative treatment|0|||
31323748|NCT02659943|59581602|FG003|Overall Study|Switched to alternative treatment|2|||
31323749|NCT02659943|59581603|FG004|Overall Study|Switched to alternative treatment|1|||
31323750|NCT02659943|59581604|FG005|Overall Study|Switched to alternative treatment|0|||
31323751|NCT02659943|59581605|FG006|Overall Study|Switched to alternative treatment|1|||
31323752|NCT02659943|59581599|FG000|Overall Study|Disease progression on study|0|||
31323753|NCT02659943|59581600|FG001|Overall Study|Disease progression on study|1|||
31323754|NCT02659943|59581601|FG002|Overall Study|Disease progression on study|1|||
31323755|NCT02659943|59581602|FG003|Overall Study|Disease progression on study|1|||
31323756|NCT02659943|59581603|FG004|Overall Study|Disease progression on study|1|||
31323757|NCT02659943|59581604|FG005|Overall Study|Disease progression on study|4|||
31323758|NCT02659943|59581605|FG006|Overall Study|Disease progression on study|0|||
31323759|NCT02659943|59581599|FG000|Overall Study|Patient's condition per principal investigator|0|||
31323760|NCT02659943|59581600|FG001|Overall Study|Patient's condition per principal investigator|0|||
31323761|NCT02659943|59581601|FG002|Overall Study|Patient's condition per principal investigator|0|||
31323762|NCT02659943|59581602|FG003|Overall Study|Patient's condition per principal investigator|0|||
31323763|NCT02659943|59581603|FG004|Overall Study|Patient's condition per principal investigator|0|||
31323764|NCT02659943|59581604|FG005|Overall Study|Patient's condition per principal investigator|1|||
31323765|NCT02659943|59581605|FG006|Overall Study|Patient's condition per principal investigator|0|||
31323766|NCT02659943|59581599|FG000|Overall Study|Ineligible|0|||
31323767|NCT02659943|59581600|FG001|Overall Study|Ineligible|0|||
31323768|NCT02659943|59581601|FG002|Overall Study|Ineligible|0|||
31323769|NCT02659943|59581602|FG003|Overall Study|Ineligible|0|||
31323770|NCT02659943|59581603|FG004|Overall Study|Ineligible|0|||
31323771|NCT02659943|59581604|FG005|Overall Study|Ineligible|0|||
31323772|NCT02659943|59581605|FG006|Overall Study|Ineligible|1|||
31323773|NCT02659943|59581599|FG000|Overall Study|No longer meets eligibility|0|||
31323774|NCT02659943|59581600|FG001|Overall Study|No longer meets eligibility|0|||
31323775|NCT02659943|59581601|FG002|Overall Study|No longer meets eligibility|0|||
31323776|NCT02659943|59581602|FG003|Overall Study|No longer meets eligibility|0|||
31323777|NCT02659943|59581603|FG004|Overall Study|No longer meets eligibility|0|||
31323778|NCT02659943|59581604|FG005|Overall Study|No longer meets eligibility|0|||
31323779|NCT02659943|59581605|FG006|Overall Study|No longer meets eligibility|1|||
31323780|NCT02659943|59581599|FG000|Overall Study|No treatment, per protocol|0|||
31323781|NCT02659943|59581600|FG001|Overall Study|No treatment, per protocol|0|||
31323782|NCT02659943|59581601|FG002|Overall Study|No treatment, per protocol|0|||
31323783|NCT02659943|59581602|FG003|Overall Study|No treatment, per protocol|0|||
31323784|NCT02659943|59581603|FG004|Overall Study|No treatment, per protocol|0|||
31323785|NCT02659943|59581604|FG005|Overall Study|No treatment, per protocol|0|||
31323786|NCT02659943|59581605|FG006|Overall Study|No treatment, per protocol|3|||
31231128|NCT03338972|59470149|FG000|Overall Study|Death|1|||
31231129|NCT03338972|59470150|FG001|Overall Study|Death|1|||
31231130|NCT03338972|59470151|FG002|Overall Study|Death|0|||
31231131|NCT03338972|59470152|FG003|Overall Study|Death|0|||
31231132|NCT03338972|59470149|FG000|Overall Study|Withdrawal by Subject|1|||
31231133|NCT03338972|59470150|FG001|Overall Study|Withdrawal by Subject|0|||
31231134|NCT03338972|59470151|FG002|Overall Study|Withdrawal by Subject|0|||
31231135|NCT03338972|59470152|FG003|Overall Study|Withdrawal by Subject|0|||
31232477|NCT03287804|59471645|FG000|Overall Study|Death|1|||
31232478|NCT03287804|59471645|FG000|Overall Study|Physician Decision|2|||
31232479|NCT03287804|59471645|FG000|Overall Study|Progressive disease|8|||
